省份,城市,地区,标识id
广东省,深圳市,深圳欢乐谷,6
广东省,深圳市,深圳北站,519
广东省,深圳市,欢乐谷,1062
广东省,深圳市,世界之窗,1063
广东省,深圳市,深圳仙湖植物园,1067
广东省,深圳市,锦绣中华·中国民俗文化村,1594
广东省,深圳市,坣岗荔枝公园,4904
广东省,深圳市,大梅沙海滨公园,4905
广东省,深圳市,东部华侨城,4906
广东省,深圳市,凤凰山森林公园,4910
广东省,深圳市,小梅沙度假村,5532
广东省,深圳市,欢乐海岸,8493
广东省,深圳市,西丽动物园,8520
广东省,深圳市,莲花山公园,8522
广东省,深圳市,梧桐山,8528
广东省,深圳市,杨梅坑,9362
广东省,深圳市,红树林公园,10107
广东省,深圳市,荔香公园,18343
广东省,深圳市,深圳海上世界,18346
广东省,广州市,广州长隆,8
广东省,广州市,广州站,512
广东省,惠州市,南昆山生态旅游区,1050
广东省,惠州市,南昆山温泉大观园,1074
广东省,佛山市,西樵山风景名胜区,1057
广东省,佛山市,李小龙乐园,4884
广东省,珠海市,圆明新园,1059
广东省,珠海市,白莲洞公园,4898
广东省,中山市,中山詹园,1060
广东省,中山市,中山市火车站,6118
广东省,江门市,塘口立园,1061
广东省,江门市,锦江温泉旅游度假区,1082
广东省,韶关市,曹溪温泉假日度假村,1073
广东省,韶关市,风度名城,4927
广东省,韶关市,威尼国际广场,4929
广东省,肇庆市,肇庆星湖风景名胜区,1087
广东省,阳江市,海陵岛大角湾风景名胜区,1101
广东省,汕尾市,汕尾玄武山旅游区,1187
广东省,汕尾市,玄武山旅游区,4855
广东省,汕头市,礐石风景名胜区,1188
广东省,汕头市,南澳岛生态旅游区,1230
广东省,河源市,忠信人民广场,4856
广东省,揭阳市,揭阳潮汕国际机场,4859
广东省,揭阳市,榕江西湖公园,4991
广东省,茂名市,兆康时代广场,4864
广东省,茂名市,忠信广场,4865
广东省,湛江市,金沙湾观海长廊,4870
广东省,湛江市,荣基国际广场,4871
广东省,云浮市,罗定人民体育场,4881
广东省,云浮市,同富商业中心,4882
广东省,清远市,铜锣湾广场,4888
广东省,清远市,清远站,4892
广东省,潮州市,绿岛山庄,4989
广东省,潮州市,潮州西湖,4990
广东省,东莞市,虎门站,5328
广东省,东莞市,威远炮台,5329
海南省,三亚市,三亚凤凰国际机场,514
海南省,三亚市,三亚站,515
海南省,海口市,海口东站,516
海南省,海口市,海口美兰国际机场,517
海南省,万宁市,兴隆热带植物园,1092
海南省,万宁市,石梅湾,5359
海南省,陵水黎族自治县,分界洲岛旅游区,1094
海南省,陵水黎族自治县,南湾猴岛生态旅游景区,1119
海南省,陵水黎族自治县,雅居乐海南清水湾,5360
海南省,保亭黎族苗族自治县,呀诺达雨林文化旅游区,1639
海南省,保亭黎族苗族自治县,槟榔谷黎苗文化旅游区,5651
海南省,乐东黎族自治县,乐东商业步行街,5284
海南省,昌江黎族自治县,金坡广场,5285
海南省,昌江黎族自治县,商贸购物广场,5286
海南省,白沙黎族自治县,凤凰商业步行街,5287
江西省,南昌市,南昌北站,524
江西省,南昌市,南昌站,525
江西省,九江市,龙湾温泉度假村,1176
江西省,九江市,庐山风景区,1179
江西省,景德镇市,瑶里古镇风景区,1214
江西省,景德镇市,景德镇古窑民俗博览区,1215
江西省,上饶市,三清山风景区,1227
江西省,上饶市,卧龙谷,1228
江西省,新余市,仙女湖景区,1234
江西省,吉安市,井冈山风景名胜区,1265
江西省,宜春市,明月山温泉风景名胜区,1280
江西省,宜春市,天沐江西明月山温泉度假村,1281
江西省,鹰潭市,龙虎山地质公园,1686
陕西省,西安市,西安站,535
陕西省,咸阳市,西安咸阳国际机场,627
陕西省,咸阳市,乾陵博物馆,1002
陕西省,延安市,延安革命纪念馆,1003
陕西省,延安市,枣园革命旧址,1004
陕西省,渭南市,华山风景名胜区,1009
陕西省,宝鸡市,法门寺法门寺旅游区,1679
陕西省,商洛市,金丝峡景区,5649
山西省,太原市,太原站,542
山西省,太原市,太原武宿国际机场,555
山西省,晋中市,王家大院,982
山西省,晋中市,绵山风景名胜区,1145
山西省,运城市,普救寺,1006
山西省,运城市,解州关帝庙,1007
山西省,临汾市,天下第一门,1134
山西省,临汾市,黄河壶口瀑布,1626
山西省,朔州市,山西应县木塔景区,1398
山西省,忻州市,五台山风景区,1524
山西省,大同市,云冈石窟,1550
山西省,大同市,恒山风景区,1562
山西省,晋城市,皇城相府生态文化旅游区,1572
内蒙古自治区,呼和浩特市,呼和浩特东站,543
内蒙古自治区,呼和浩特市,呼和浩特白塔国际机场,544
内蒙古自治区,鄂尔多斯市,响沙湾旅游景区,1108
内蒙古自治区,鄂尔多斯市,水洞沟文化遗址,5664
内蒙古自治区,阿拉善盟,广宗寺,1117
内蒙古自治区,赤峰市,喀喇沁亲王府,1381
内蒙古自治区,赤峰市,阿斯哈图花岗岩石林园区,1560
内蒙古自治区,呼伦贝尔市,呼和诺尔旅游景区,1408
内蒙古自治区,呼伦贝尔市,满洲里套娃广场,1410
内蒙古自治区,乌兰察布市,格根塔拉草原旅游区,1425
内蒙古自治区,兴安盟,阿尔山海神圣泉旅游度假区,1492
内蒙古自治区,通辽市,大青沟,1495
内蒙古自治区,巴彦淖尔市,维信国际高尔夫度假村,1605
内蒙古自治区,乌海市,乌海湖,5356
内蒙古自治区,乌海市,乌海植物园,5497
甘肃省,兰州市,兰州站,546
甘肃省,兰州市,兰州中川机场,553
甘肃省,甘南藏族自治州,拉卜楞寺,940
甘肃省,甘南藏族自治州,冶力关风景区,1631
甘肃省,嘉峪关市,嘉峪关长城文化旅游景区,944
甘肃省,酒泉市,鸣沙山月牙泉风景名胜区,945
甘肃省,酒泉市,阳关景区,1681
甘肃省,临夏回族自治州,松鸣岩风景名胜区,947
甘肃省,陇南市,万象洞,948
甘肃省,陇南市,官鹅沟自然风景区,1142
甘肃省,陇南市,西狭颂景区,1154
甘肃省,张掖市,大佛寺,960
甘肃省,武威市,武威沙漠公园,961
甘肃省,武威市,武威文庙,962
甘肃省,武威市,神州荒漠野生动物园,963
甘肃省,白银市,景泰黄河石林风景旅游区,964
甘肃省,天水市,麦积山风景区,1010
甘肃省,定西市,贵清山旅游风景区,1140
甘肃省,定西市,遮阳山旅游风景区,1161
新疆维吾尔自治区,乌鲁木齐市,乌鲁木齐地窝堡国际机场,549
新疆维吾尔自治区,乌鲁木齐市,乌鲁木齐站,550
新疆维吾尔自治区,阿克苏地区,龟兹绿洲生态园,934
新疆维吾尔自治区,阿克苏地区,库车原世袭回部亲王府,1152
新疆维吾尔自治区,巴音郭楞蒙古自治州,金沙滩旅游度假区,935
新疆维吾尔自治区,昌吉回族自治州,天山天池风景区,936
新疆维吾尔自治区,石河子市,新疆兵团军垦博物馆,953
新疆维吾尔自治区,伊犁哈萨克自治州,锡伯民俗风情园,959
新疆维吾尔自治区,伊犁哈萨克自治州,那拉提旅游风景区,5621
新疆维吾尔自治区,吐鲁番地区,吐鲁番葡萄沟风景区,1114
新疆维吾尔自治区,博尔塔拉蒙古自治州,怪石峪风景区,1121
新疆维吾尔自治区,喀什地区,喀什噶尔老城景区,1135
新疆维吾尔自治区,喀什地区,艾提尕尔清真寺,1613
新疆维吾尔自治区,阿勒泰地区,可可托海风景区,1158
新疆维吾尔自治区,阿勒泰地区,喀纳斯风景区,1166
青海省,西宁市,西宁火车站,551
青海省,西宁市,青海省博物馆,883
青海省,海北藏族自治州,青海湖风景区,943
青海省,海东市,西宁市曹家堡机场,5862
河北省,石家庄市,石家庄正定国际机场,554
河北省,石家庄市,石家庄站,612
河北省,石家庄市,嶂石岩风景名胜区,1590
河北省,廊坊市,香河第一城,1356
河北省,廊坊市,廊坊市文化艺术中心公园,1411
河北省,承德市,普陀宗乘之庙,1382
河北省,承德市,承德避暑山庄,1383
河北省,承德市,金山岭长城旅游区,1559
河北省,保定市,白洋淀风景区,1396
河北省,保定市,野三坡白草畔景区,1553
河北省,张家口市,黄龙山庄,1426
河北省,张家口市,万龙滑雪场,1584
河北省,邢台市,崆山白云洞,1525
河北省,邯郸市,娲皇宫,1530
河北省,秦皇岛市,北戴河·集发观光园,1579
河北省,沧州市,吴桥杂技大世界,1646
河北省,唐山市,清东陵景区,5650
湖南省,长沙市,长沙黄花国际机场,586
湖南省,长沙市,岳麓山风景名胜区,1619
湖南省,衡阳市,南岳衡山风景区,1017
湖南省,衡阳市,南岳大庙,6180
湖南省,岳阳市,任弼时纪念馆,1023
湖南省,岳阳市,岳阳楼风景区,1151
湖南省,湘潭市,彭德怀纪念馆,1024
湖南省,湘潭市,毛泽东同志纪念馆,6179
湖南省,张家界市,宝峰湖风景区,1036
湖南省,张家界市,黄龙洞风景区,1037
湖南省,永州市,九嶷山舜帝陵风景区,1046
湖南省,常德市,桃花源风景区,1125
湖南省,湘西土家族苗族自治州,茅岩河九天洞风景区,1138
湖南省,株洲市,炎帝陵,1285
湖南省,益阳市,益阳奥林匹克公园,1616
湖南省,郴州市,苏仙岭风景名胜区,1622
湖南省,郴州市,东江湖风景旅游区,5646
湖南省,娄底市,湄江国家地址公园,5357
湖北省,武汉市,武汉站,605
湖北省,十堰市,武当山风景区,975
湖北省,神农架林区,神农架神农顶风景区,1029
湖北省,神农架林区,神农架红坪景区,1030
湖北省,襄阳市,古隆中,1031
湖北省,宜昌市,三峡车溪土家民俗旅游区,1032
湖北省,恩施土家族苗族自治州,神农溪纤夫文化旅游区,1147
湖北省,恩施土家族苗族自治州,恩施大峡谷,5613
湖北省,荆州市,洪湖蓝田生态旅游风景区,1181
湖北省,荆州市,荆州古城历史文化旅游区,1698
湖北省,孝感市,汤池温泉,1292
宁夏回族自治区,银川市,银川河东机场,628
宁夏回族自治区,银川市,银川火车站,629
宁夏回族自治区,石嘴山市,沙湖生态旅游区,1131
宁夏回族自治区,中卫市,沙坡头旅游区沙漠区,1133
四川省,成都市,成都站,641
四川省,成都市,成都市天府广场,5847
四川省,凉山彝族自治州,邛海泸山国家级风景名胜区,913
四川省,凉山彝族自治州,灵山景区,946
四川省,自贡市,恐龙博物馆,924
四川省,广元市,皇泽寺,926
四川省,广元市,翠云廊景区,942
