标识,app名,日期,活跃数,活跃度,行业活跃度基准值,行业活跃度均值
6620,百度推广,2017-01-01,64673,4.86e-05,0.056556,0.0004852
6620,百度推广,2017-02-01,65226,4.88e-05,0.05639,0.0005118
6620,百度推广,2017-08-01,68838,4.98e-05,0.0560412,0.0003815
6620,百度推广,2017-09-01,70440,5.05e-05,0.0555045,0.0005414
6620,百度推广,2017-06-01,74611,5.47e-05,0.0579732,0.0004622
6620,百度推广,2017-11-01,61412,4.35e-05,0.0532576,0.0006536
6620,百度推广,2017-07-01,69640,5.07e-05,0.0567826,0.0003679
6620,百度推广,2017-10-01,66109,4.7e-05,0.0545944,0.0006384
6620,百度推广,2017-05-01,74324,5.48e-05,0.0573222,0.0005277
6620,百度推广,2017-03-01,70955,5.27e-05,0.0571021,0.00041
6620,百度推广,2017-12-01,58291,4.11e-05,0.0521189,0.0006255
6620,百度推广,2018-01-01,58932,4.14e-05,0.0506156,0.0007171
6620,百度推广,2018-03-01,56194,3.89e-05,0.0584801,0.0007603
6620,百度推广,2018-02-01,53929,3.76e-05,0.0496045,0.0007026
6620,百度推广,2018-04-01,61354,4.13e-05,0.0594539,0.0007603
6620,百度推广,2018-05-01,62811,4.2e-05,0.0609023,0.0007603
6620,百度推广,2018-07-01,63182,4.15e-05,0.056651,0.0007458
6620,百度推广,2018-08-01,60792,3.95e-05,0.0480045,0.0007472
6620,百度推广,2018-06-01,62489,4.15e-05,0.0598758,0.0007603
6620,百度推广,2018-09-01,58903,3.79e-05,0.0528564,0.000751
6620,百度推广,2018-10-01,61928,3.94e-05,0.0433702,0.000751
6620,百度推广,2018-11-01,50782,3.2e-05,0.0376278,0.0007509
6620,百度推广,2018-12-01,44992,2.85e-05,0.0380731,0.0007499
6620,百度推广,2019-01-01,38978,2.47e-05,0.0388563,0.0007499
6620,百度推广,2019-03-01,43724,2.75e-05,0.0401574,0.0007499
6620,百度推广,2019-02-01,34336,2.16e-05,0.0388882,0.0007499
6620,百度推广,2019-04-01,35247,2.21e-05,0.0307689,0.0007499
6620,百度推广,2019-05-01,34743,2.18e-05,0.0305263,0.0007499
6620,百度推广,2019-06-01,35059,2.2e-05,0.0305263,0.0007499
6626,精品中国象棋,2017-01-01,150587,0.0001132,0.056556,0.0004852
6626,精品中国象棋,2017-03-01,122473,9.1e-05,0.0571021,0.00041
6626,精品中国象棋,2017-02-01,130404,9.75e-05,0.05639,0.0005118
6626,精品中国象棋,2017-04-01,119470,8.85e-05,0.0565626,0.0004095
6626,精品中国象棋,2017-05-01,120990,8.92e-05,0.0573222,0.0005277
6626,精品中国象棋,2017-06-01,115331,8.45e-05,0.0579732,0.0004622
6626,精品中国象棋,2017-08-01,91651,6.63e-05,0.0560412,0.0003815
6626,精品中国象棋,2017-07-01,107334,7.82e-05,0.0567826,0.0003679
6626,精品中国象棋,2017-09-01,84804,6.08e-05,0.0555045,0.0005414
6626,精品中国象棋,2017-10-01,80246,5.7e-05,0.0545944,0.0006384
6620,百度推广,,,,,
6626,精品中国象棋,2017-12-01,71101,5.01e-05,0.0521189,0.0006255
6626,精品中国象棋,2018-01-01,65279,4.58e-05,0.0506156,0.0007171
6626,精品中国象棋,2017-11-01,74816,5.31e-05,0.0532576,0.0006536
6626,精品中国象棋,2018-02-01,64553,4.5e-05,0.0496045,0.0007026
6626,精品中国象棋,2018-03-01,71055,4.92e-05,0.0584801,0.0007603
6626,精品中国象棋,2018-04-01,71758,4.83e-05,0.0594539,0.0007603
6626,精品中国象棋,2018-05-01,67077,4.48e-05,0.0609023,0.0007603
6626,精品中国象棋,2018-06-01,62684,4.16e-05,0.0598758,0.0007603
6626,精品中国象棋,2018-07-01,62840,4.13e-05,0.056651,0.0007458
6626,精品中国象棋,2018-08-01,52137,3.39e-05,0.0480045,0.0007472
6626,精品中国象棋,2018-09-01,51442,3.31e-05,0.0528564,0.000751
6626,精品中国象棋,2018-11-01,67757,4.27e-05,0.0376278,0.0007509
6626,精品中国象棋,2018-10-01,51508,3.28e-05,0.0433702,0.000751
6626,精品中国象棋,2018-12-01,69423,4.4e-05,0.0380731,0.0007499
6626,精品中国象棋,2019-01-01,90781,5.75e-05,0.0388563,0.0007499
