品牌,机型,日期,占有率
三星,GT-I9300,2014-01-01,2.06
三星,GT-N7100,2014-01-01,1.85
小米,MI,2014-01-01,1.75
三星,GT-I9500,2014-01-01,1.35
小米,红米,2014-01-01,1.3
小米,MI,2014-01-01,0.99
小米,MI,2014-01-01,0.98
小米,MI,2014-01-01,0.97
小米,MI,2014-01-01,0.9
三星,GT-I9100,2014-01-01,0.83
小米,MI,2014-01-01,0.83
华为,C8815,2014-01-01,0.57
步步高,vivo,2014-01-01,0.56
三星,GT-S7568,2014-01-01,0.49
小米,MI-ONE,2014-01-01,0.48
三星,GT-S7562,2014-01-01,0.47
三星,GT-S7572,2014-01-01,0.47
三星,GT-I8552,2014-01-01,0.45
魅族,M040,2014-01-01,0.44
OPPO,R821T,2014-01-01,0.43
三星,GT-N7102,2014-01-01,0.42
三星,GT-N7000,2014-01-01,0.42
三星,GT-I9308,2014-01-01,0.42
三星,GT-N7108,2014-01-01,0.41
中兴,ZTE-U880E,2014-01-01,0.39
三星,SM-N9006,2014-01-01,0.39
三星,GT-I9508,2014-01-01,0.39
OPPO,U705T,2014-01-01,0.37
华为,C8813Q,2014-01-01,0.36
三星,GT-I9152,2014-01-01,0.36
OPPO,R819T,2014-01-01,0.35
三星,GT-I9100G,2014-01-01,0.35
联想,A390t,2014-01-01,0.34
步步高,vivo,2014-01-01,0.32
华为,C8813,2014-01-01,0.32
OPPO,X909T,2014-01-01,0.32
步步高,vivo,2014-01-01,0.32
OPPO,X909,2014-01-01,0.31
联想,A820t,2014-01-01,0.3
OPPO,R815T,2014-01-01,0.3
三星,SCH-N719,2014-01-01,0.29
OPPO,R811,2014-01-01,0.28
三星,SCH-I739,2014-01-01,0.28
三星,GT-I9082,2014-01-01,0.28
三星,SCH-I959,2014-01-01,0.28
华为,C8812,2014-01-01,0.28
三星,GT-I8262D,2014-01-01,0.28
OPPO,X907,2014-01-01,0.28
三星,GT-S7562i,2014-01-01,0.27
OPPO,R823T,2014-01-01,0.27
三星,GT-S5830i,2014-01-01,0.27
三星,SM-N9008,2014-01-01,0.27
联想,A630t,2014-01-01,0.26
三星,SCH-I699,2014-01-01,0.26
HTC,,2014-01-01,0.25
三星,GT-I9502,2014-01-01,0.25
联想,A3000-H,2014-01-01,0.25
华为,G610-U00,2014-01-01,0.25
三星,GT-S7898,2014-01-01,0.25
步步高,vivo,2014-01-01,0.24
华为,G520-0000,2014-01-01,0.24
联想,A850,2014-01-01,0.24
三星,GT-P3100,2014-01-01,0.24
步步高,vivo,2014-01-01,0.23
三星,GT-I8268,2014-01-01,0.23
步步高,vivo,2014-01-01,0.23
三星,GT-I9220,2014-01-01,0.22
中兴,U807,2014-01-01,0.22
联想,A298t,2014-01-01,0.22
三星,GT-I9082i,2014-01-01,0.22
其它,Epade-S90,2014-01-01,0.22
步步高,vivo,2014-01-01,0.21
华为,P6-T00,2014-01-01,0.21
HTC,Incredible,2014-01-01,0.21
华为,T8951,2014-01-01,0.21
联想,A278t,2014-01-01,0.2
三星,SM-N9009,2014-01-01,0.2
三星,SM-N900,2014-01-01,0.2
酷派,Coolpad-Yulong,2014-01-01,0.2
三星,SM-N9002,2014-01-01,0.2
小米,MI,2014-01-01,0.2
酷派,Coolpad-Yulong,2014-01-01,0.19
步步高,vivo,2014-01-01,0.19
中兴,ZTE-U793,2014-01-01,0.19
三星,GT-I9158,2014-01-01,0.19
小米,MI-ONE,2014-01-01,0.18
酷派,Coolpad-Yulong,2014-01-01,0.18
三星,GT-I8558,2014-01-01,0.18
小米,MI,2014-01-01,0.18
酷派,Coolpad-Yulong,2014-01-01,0.17
华为,G520-5000,2014-01-01,0.17
三星,GT-S5830,2014-01-01,0.17
索尼爱立信,LT26i,2014-01-01,0.17
步步高,vivo,2014-01-01,0.17
华为,P6-C00,2014-01-01,0.17
步步高,vivo,2014-01-01,0.17
三星,SCH-I869,2014-01-01,0.17
三星,GT-I9300,2014-02-01,2.03
三星,GT-N7100,2014-02-01,1.9
小米,MI,2014-02-01,1.87
小米,红米,2014-02-01,1.56
三星,GT-I9500,2014-02-01,1.36
小米,MI,2014-02-01,1.2
小米,MI,2014-02-01,1.05
小米,MI,2014-02-01,1.0
小米,MI,2014-02-01,0.89
小米,MI,2014-02-01,0.85
三星,GT-I9100,2014-02-01,0.73
步步高,vivo,2014-02-01,0.68
华为,C8815,2014-02-01,0.59
三星,GT-S7568,2014-02-01,0.5
小米,MI-ONE,2014-02-01,0.49
OPPO,R821T,2014-02-01,0.48
三星,GT-I8552,2014-02-01,0.47
三星,SM-N9006,2014-02-01,0.47
三星,GT-S7562,2014-02-01,0.45
三星,GT-N7102,2014-02-01,0.45
三星,GT-I9308,2014-02-01,0.45
魅族,M040,2014-02-01,0.45
三星,GT-N7108,2014-02-01,0.44
三星,GT-I9508,2014-02-01,0.41
步步高,vivo,2014-02-01,0.4
三星,GT-S7572,2014-02-01,0.4
三星,GT-I9152,2014-02-01,0.39
OPPO,R819T,2014-02-01,0.38
三星,GT-N7000,2014-02-01,0.38
OPPO,U705T,2014-02-01,0.35
联想,A390t,2014-02-01,0.35
华为,C8813Q,2014-02-01,0.34
三星,GT-I9100G,2014-02-01,0.34
OPPO,X909T,2014-02-01,0.34
三星,SM-N9008,2014-02-01,0.33
华为,C8813,2014-02-01,0.31
OPPO,X909,2014-02-01,0.31
三星,SCH-N719,2014-02-01,0.31
步步高,vivo,2014-02-01,0.3
步步高,vivo,2014-02-01,0.3
三星,SCH-I739,2014-02-01,0.3
联想,A820t,2014-02-01,0.3
三星,SCH-I959,2014-02-01,0.29
OPPO,R815T,2014-02-01,0.29
三星,GT-I9082,2014-02-01,0.29
OPPO,R823T,2014-02-01,0.29
三星,GT-I8262D,2014-02-01,0.29
三星,SCH-I699,2014-02-01,0.28
步步高,vivo,2014-02-01,0.28
步步高,vivo,2014-02-01,0.28
三星,GT-S7562i,2014-02-01,0.28
酷派,Coolpad-Yulong,2014-02-01,0.27
联想,A850,2014-02-01,0.27
华为,G610-U00,2014-02-01,0.27
华为,C8812,2014-02-01,0.27
OPPO,X907,2014-02-01,0.27
联想,A630t,2014-02-01,0.27
三星,GT-S7898,2014-02-01,0.27
OPPO,R811,2014-02-01,0.27
三星,GT-I9502,2014-02-01,0.27
三星,GT-S5830i,2014-02-01,0.25
步步高,vivo,2014-02-01,0.25
三星,SM-N9002,2014-02-01,0.25
三星,SM-N9009,2014-02-01,0.24
三星,GT-I9082i,2014-02-01,0.24
三星,GT-I8268,2014-02-01,0.24
OPPO,R827T,2014-02-01,0.24
三星,GT-I9220,2014-02-01,0.23
步步高,vivo,2014-02-01,0.23
三星,GT-P3100,2014-02-01,0.23
步步高,vivo,2014-02-01,0.22
联想,A298t,2014-02-01,0.22
华为,P6-T00,2014-02-01,0.22
三星,GT-I9158,2014-02-01,0.22
三星,SM-N900,2014-02-01,0.21
华为,G520-0000,2014-02-01,0.21
中兴,U807,2014-02-01,0.21
华为,T8951,2014-02-01,0.21
联想,A278t,2014-02-01,0.21
三星,GT-I8558,2014-02-01,0.2
OPPO,U707T,2014-02-01,0.2
酷派,Coolpad-Yulong,2014-02-01,0.2
酷派,Coolpad-Yulong,2014-02-01,0.2
OPPO,R829T,2014-02-01,0.19
联想,A3000-H,2014-02-01,0.18
华为,P6-C00,2014-02-01,0.18
酷派,Coolpad-Yulong,2014-02-01,0.18
三星,SCH-I869,2014-02-01,0.18
小米,MI-ONE,2014-02-01,0.18
OPPO,N1T,2014-02-01,0.18
HTC,Incredible,2014-02-01,0.18
中兴,ZTE-U793,2014-02-01,0.17
索尼爱立信,LT26i,2014-02-01,0.17
联想,A670t,2014-02-01,0.17
华为,A199,2014-02-01,0.17
联想,A308t,2014-02-01,0.17
华为,G520-5000,2014-02-01,0.17
步步高,vivo,2014-02-01,0.16
三星,GT-I9300,2014-03-01,2.76
三星,GT-N7100,2014-03-01,2.64
小米,MI,2014-03-01,2.59
小米,红米,2014-03-01,2.33
三星,GT-I9500,2014-03-01,1.87
小米,MI,2014-03-01,1.75
小米,MI,2014-03-01,1.47
小米,MI,2014-03-01,1.24
小米,MI,2014-03-01,1.03
小米,MI,2014-03-01,0.99
步步高,vivo,2014-03-01,0.94
三星,GT-I9100,2014-03-01,0.88
三星,SM-N9006,2014-03-01,0.73
三星,GT-I8552,2014-03-01,0.61
三星,GT-N7108,2014-03-01,0.61
三星,GT-N7102,2014-03-01,0.6
三星,GT-I9308,2014-03-01,0.59
魅族,M040,2014-03-01,0.58
OPPO,R821T,2014-03-01,0.58
三星,GT-I9508,2014-03-01,0.57
三星,GT-S7568,2014-03-01,0.56
三星,GT-S7562,2014-03-01,0.56
小米,MI-ONE,2014-03-01,0.53
三星,GT-I9152,2014-03-01,0.52
步步高,vivo,2014-03-01,0.51
OPPO,R819T,2014-03-01,0.5
三星,SM-N9008,2014-03-01,0.49
三星,GT-S7572,2014-03-01,0.46
三星,GT-N7000,2014-03-01,0.45
华为,C8815,2014-03-01,0.45
OPPO,X909T,2014-03-01,0.44
OPPO,U705T,2014-03-01,0.44
三星,SCH-N719,2014-03-01,0.43
三星,GT-I9100G,2014-03-01,0.42
三星,SM-N9009,2014-03-01,0.41
三星,GT-I9082,2014-03-01,0.41
三星,SCH-I959,2014-03-01,0.41
三星,SM-N9002,2014-03-01,0.4
步步高,vivo,2014-03-01,0.4
OPPO,X909,2014-03-01,0.39
步步高,vivo,2014-03-01,0.38
OPPO,R827T,2014-03-01,0.36
步步高,vivo,2014-03-01,0.36
三星,GT-I9502,2014-03-01,0.36
步步高,vivo,2014-03-01,0.36
