系统,日期,占有率
Android+4.1.2,2014-01-01,18.67
Android+4.2.2,2014-01-01,15.64
Android+4.0.4,2014-01-01,15.27
Android+4.1.1,2014-01-01,11.11
Android+4.2.1,2014-01-01,9.13
Android+2.3.6,2014-01-01,6.66
Android+2.3.5,2014-01-01,6.3
Android+4.0.3,2014-01-01,5.71
Android+4.3,2014-01-01,4.91
Android+2.3.7,2014-01-01,1.47
Android+4.1.2,2014-02-01,18.11
Android+4.2.2,2014-02-01,17.87
Android+4.0.4,2014-02-01,14.0
Android+4.1.1,2014-02-01,10.77
Android+4.2.1,2014-02-01,9.67
Android+2.3.6,2014-02-01,6.32
Android+2.3.5,2014-02-01,5.98
Android+4.3,2014-02-01,5.91
Android+4.0.3,2014-02-01,5.67
Android+2.3.4,2014-02-01,1.29
Android+4.2.2,2014-03-01,19.27
Android+4.1.2,2014-03-01,18.73
Android+4.0.4,2014-03-01,11.61
Android+4.1.1,2014-03-01,11.53
Android+4.2.1,2014-03-01,11.08
Android+4.3,2014-03-01,9.58
Android+2.3.6,2014-03-01,5.21
Android+4.0.3,2014-03-01,4.4
Android+2.3.5,2014-03-01,3.95
Android+2.3.4,2014-03-01,1.18
Android+4.2.2,2014-04-01,19.75
Android+4.1.2,2014-04-01,18.17
Android+4.1.1,2014-04-01,12.39
Android+4.2.1,2014-04-01,11.98
Android+4.3,2014-04-01,11.72
Android+4.0.4,2014-04-01,10.04
Android+2.3.6,2014-04-01,4.73
Android+4.0.3,2014-04-01,3.26
Android+2.3.5,2014-04-01,3.08
Android+2.3.4,2014-04-01,1.23
Android+4.2.2,2014-05-01,21.04
Android+4.1.2,2014-05-01,17.12
Android+4.3,2014-05-01,12.49
Android+4.2.1,2014-05-01,12.37
Android+4.1.1,2014-05-01,12.12
Android+4.0.4,2014-05-01,9.08
Android+2.3.6,2014-05-01,4.4
Android+4.0.3,2014-05-01,2.95
Android+2.3.5,2014-05-01,2.86
Android+4.4.2,2014-05-01,1.77
Android+4.2.2,2014-06-01,22.1
Android+4.1.2,2014-06-01,16.08
Android+4.3,2014-06-01,14.19
Android+4.2.1,2014-06-01,12.25
Android+4.1.1,2014-06-01,11.6
Android+4.0.4,2014-06-01,8.1
Android+2.3.6,2014-06-01,4.0
Android+4.4.2,2014-06-01,3.19
Android+4.0.3,2014-06-01,2.59
Android+2.3.5,2014-06-01,2.55
Android+4.2.2,2014-07-01,25.84
Android+4.1.2,2014-07-01,14.25
Android+4.3,2014-07-01,11.3
Android+4.2.1,2014-07-01,9.3
Android+4.0.4,2014-07-01,9.22
Android+4.1.1,2014-07-01,8.45
Android+4.4.2,2014-07-01,4.46
Android+2.3.6,2014-07-01,4.33
Android+4.0.3,2014-07-01,4.16
Android+2.3.5,2014-07-01,3.96
Android+4.2.2,2014-08-01,27.25
Android+4.1.2,2014-08-01,13.5
Android+4.3,2014-08-01,12.12
Android+4.0.4,2014-08-01,8.56
Android+4.2.1,2014-08-01,8.13
Android+4.1.1,2014-08-01,7.85
Android+4.4.2,2014-08-01,6.32
Android+2.3.6,2014-08-01,4.04
Android+4.0.3,2014-08-01,3.92
Android+2.3.5,2014-08-01,3.7
Android+4.2.2,2014-09-01,26.22
Android+4.3,2014-09-01,13.96
Android+4.1.2,2014-09-01,13.38
Android+4.4.2,2014-09-01,9.49
Android+4.1.1,2014-09-01,7.75
Android+4.2.1,2014-09-01,7.54
Android+4.0.4,2014-09-01,7.51
Android+4.0.3,2014-09-01,3.45
Android+2.3.6,2014-09-01,3.38
Android+2.3.5,2014-09-01,2.96
Android+4.2.2,2014-10-01,25.3
Android+4.3,2014-10-01,15.0
Android+4.1.2,2014-10-01,12.51
Android+4.4.2,2014-10-01,11.56
Android+4.1.1,2014-10-01,7.24
Android+4.2.1,2014-10-01,6.88
Android+4.0.4,2014-10-01,6.84
Android+4.0.3,2014-10-01,3.19
Android+2.3.6,2014-10-01,3.06
Android+2.3.5,2014-10-01,2.78
Android+4.2.2,2014-11-01,23.89
Android+4.3,2014-11-01,14.93
Android+4.4.2,2014-11-01,13.17
Android+4.1.2,2014-11-01,12.19
Android+4.1.1,2014-11-01,6.78
Android+4.0.4,2014-11-01,6.59
Android+4.2.1,2014-11-01,6.34
Android+4.4.4,2014-11-01,4.11
Android+4.0.3,2014-11-01,2.97
Android+2.3.6,2014-11-01,2.93
Android+4.2.2,2014-12-01,22.94
Android+4.3,2014-12-01,15.04
Android+4.4.2,2014-12-01,14.76
Android+4.1.2,2014-12-01,11.3
Android+4.1.1,2014-12-01,6.44
Android+4.0.4,2014-12-01,6.13
Android+4.4.4,2014-12-01,6.1
Android+4.2.1,2014-12-01,5.98
Android+4.0.3,2014-12-01,2.73
Android+2.3.6,2014-12-01,2.66
Android+4.2.2,2015-01-01,22.02
Android+4.4.2,2015-01-01,15.9
Android+4.3,2015-01-01,14.91
Android+4.1.2,2015-01-01,10.56
Android+4.4.4,2015-01-01,8.14
Android+4.0.4,2015-01-01,5.87
Android+4.1.1,2015-01-01,5.87
Android+4.2.1,2015-01-01,5.52
Android+4.0.3,2015-01-01,2.59
Android+2.3.6,2015-01-01,2.55
Android+4.2.2,2015-02-01,21.25
Android+4.4.2,2015-02-01,16.41
Android+4.3,2015-02-01,14.57
Android+4.4.4,2015-02-01,11.19
Android+4.1.2,2015-02-01,9.91
Android+4.0.4,2015-02-01,5.64
Android+4.1.1,2015-02-01,5.37
Android+4.2.1,2015-02-01,5.02
Android+4.0.3,2015-02-01,2.48
Android+2.3.6,2015-02-01,2.39
Android+4.2.2,2015-03-01,20.21
Android+4.4.2,2015-03-01,17.78
Android+4.3,2015-03-01,14.39
Android+4.4.4,2015-03-01,13.84
Android+4.1.2,2015-03-01,9.33
Android+4.1.1,2015-03-01,5.0
Android+4.0.4,2015-03-01,4.96
Android+4.2.1,2015-03-01,4.73
Android+4.0.3,2015-03-01,2.2
Android+2.3.6,2015-03-01,2.11
Android+4.2.2,2015-04-01,19.13
Android+4.4.2,2015-04-01,18.41
Android+4.4.4,2015-04-01,15.7
