网络,日期,占有率
2G,2014-01-01,42.78
3G,2014-01-01,36.06
WIFI,2014-01-01,20.77
4G,2014-01-01,0.4
2G,2014-02-01,41.48
3G,2014-02-01,34.46
WIFI,2014-02-01,23.73
4G,2014-02-01,0.34
2G,2014-03-01,37.29
3G,2014-03-01,36.0
WIFI,2014-03-01,26.32
4G,2014-03-01,0.39
2G,2014-04-01,36.84
3G,2014-04-01,34.62
WIFI,2014-04-01,28.12
4G,2014-04-01,0.42
2G,2014-05-01,35.35
3G,2014-05-01,34.03
WIFI,2014-05-01,30.13
4G,2014-05-01,0.5
WIFI,2014-06-01,34.99
2G,2014-06-01,32.7
3G,2014-06-01,31.7
4G,2014-06-01,0.61
WIFI,2014-07-01,39.51
2G,2014-07-01,30.44
3G,2014-07-01,29.4
4G,2014-07-01,0.65
其他,2014-07-01,0.01
WIFI,2014-08-01,41.89
3G,2014-08-01,28.72
2G,2014-08-01,28.54
4G,2014-08-01,0.81
其他,2014-08-01,0.04
WIFI,2014-09-01,42.77
3G,2014-09-01,28.7
2G,2014-09-01,27.31
4G,2014-09-01,1.16
其他,2014-09-01,0.06
WIFI,2014-10-01,47.48
3G,2014-10-01,26.69
2G,2014-10-01,24.24
4G,2014-10-01,1.5
其他,2014-10-01,0.09
WIFI,2014-11-01,54.34
3G,2014-11-01,23.03
2G,2014-11-01,20.88
4G,2014-11-01,1.58
其他,2014-11-01,0.17
WIFI,2014-12-01,54.32
3G,2014-12-01,23.0
2G,2014-12-01,20.57
4G,2014-12-01,1.87
其他,2014-12-01,0.24
WIFI,2015-01-01,56.29
3G,2015-01-01,21.28
2G,2015-01-01,20.26
4G,2015-01-01,1.86
其他,2015-01-01,0.32
WIFI,2015-02-01,56.97
2G,2015-02-01,21.6
3G,2015-02-01,19.21
4G,2015-02-01,1.91
其他,2015-02-01,0.31
WIFI,2015-03-01,58.57
3G,2015-03-01,19.48
2G,2015-03-01,19.26
4G,2015-03-01,2.36
其他,2015-03-01,0.33
WIFI,2015-04-01,59.63
3G,2015-04-01,19.09
2G,2015-04-01,18.24
4G,2015-04-01,2.64
其他,2015-04-01,0.39
WIFI,2015-05-01,70.35
3G,2015-05-01,12.69
2G,2015-05-01,10.6
4G,2015-05-01,6.05
其他,2015-05-01,0.32
WIFI,2015-06-01,68.4
3G,2015-06-01,13.68
2G,2015-06-01,11.1
4G,2015-06-01,6.33
其他,2015-06-01,0.49
WIFI,2015-07-01,68.03
3G,2015-07-01,12.78
2G,2015-07-01,12.23
4G,2015-07-01,6.61
其他,2015-07-01,0.34
WIFI,2015-08-01,64.36
2G,2015-08-01,15.16
3G,2015-08-01,12.4
4G,2015-08-01,7.65
其他,2015-08-01,0.42
WIFI,2015-09-01,59.22
2G,2015-09-01,17.06
3G,2015-09-01,14.01
4G,2015-09-01,9.07
其他,2015-09-01,0.64
WIFI,2015-10-01,60.7
2G,2015-10-01,15.94
3G,2015-10-01,12.96
4G,2015-10-01,9.77
其他,2015-10-01,0.62
WIFI,2015-11-01,63.13
2G,2015-11-01,14.03
3G,2015-11-01,11.44
4G,2015-11-01,10.66
其他,2015-11-01,0.74
WIFI,2015-12-01,62.19
2G,2015-12-01,13.84
4G,2015-12-01,11.63
3G,2015-12-01,11.62
其他,2015-12-01,0.72
WIFI,2016-01-01,63.84
2G,2016-01-01,12.64
3G,2016-01-01,11.45
4G,2016-01-01,11.32
其他,2016-01-01,0.75
WIFI,2016-02-01,65.02
2G,2016-02-01,12.09
4G,2016-02-01,11.84
3G,2016-02-01,10.49
其他,2016-02-01,0.56
WIFI,2016-03-01,63.36
4G,2016-03-01,13.86
2G,2016-03-01,11.56
3G,2016-03-01,10.48
其他,2016-03-01,0.73
WIFI,2016-04-01,65.47
4G,2016-04-01,14.27
2G,2016-04-01,10.66
3G,2016-04-01,8.89
其他,2016-04-01,0.71
WIFI,2016-05-01,66.39
4G,2016-05-01,14.94
2G,2016-05-01,9.94
3G,2016-05-01,8.03
其他,2016-05-01,0.71
WIFI,2016-06-01,66.62
4G,2016-06-01,15.16
2G,2016-06-01,9.32
3G,2016-06-01,7.57
其他,2016-06-01,1.32
WIFI,2016-07-01,72.56
4G,2016-07-01,13.08
2G,2016-07-01,7.56
3G,2016-07-01,6.05
其他,2016-07-01,0.76
WIFI,2016-08-01,75.71
4G,2016-08-01,11.76
2G,2016-08-01,6.55
3G,2016-08-01,5.3
其他,2016-08-01,0.69
WIFI,2016-09-01,71.66
4G,2016-09-01,14.93
2G,2016-09-01,6.63
3G,2016-09-01,5.66
其他,2016-09-01,1.13
WIFI,2016-10-01,74.41
4G,2016-10-01,14.54
2G,2016-10-01,5.47
3G,2016-10-01,4.83
其他,2016-10-01,0.75
WIFI,2016-11-01,74.0
4G,2016-11-01,15.44
2G,2016-11-01,5.06
3G,2016-11-01,4.82
其他,2016-11-01,0.68
WIFI,2016-12-01,71.48
4G,2016-12-01,17.71
3G,2016-12-01,5.13
2G,2016-12-01,5.07
其他,2016-12-01,0.61
WIFI,2017-01-01,72.16
4G,2017-01-01,17.19
3G,2017-01-01,5.09
2G,2017-01-01,4.94
其他,2017-01-01,0.62
WIFI,2017-02-01,72.19
4G,2017-02-01,17.52
3G,2017-02-01,5.1
2G,2017-02-01,4.7
其他,2017-02-01,0.49
WIFI,2017-03-01,70.11
4G,2017-03-01,18.55
3G,2017-03-01,4.73
2G,2017-03-01,4.6
其他,2017-03-01,2.01
WIFI,2017-04-01,65.94
4G,2017-04-01,27.67
3G,2017-04-01,3.11
2G,2017-04-01,3.02
其他,2017-04-01,0.26
WIFI,2017-05-01,63.51
4G,2017-05-01,28.91
2G,2017-05-01,3.69
3G,2017-05-01,3.54
其他,2017-05-01,0.36
WIFI,2017-06-01,66.26
4G,2017-06-01,28.25
3G,2017-06-01,2.68
2G,2017-06-01,2.58
其他,2017-06-01,0.23
WIFI,2017-07-01,65.06
4G,2017-07-01,28.64
2G,2017-07-01,3.03
3G,2017-07-01,3.0
其他,2017-07-01,0.27
WIFI,2017-08-01,65.04
4G,2017-08-01,29.22
2G,2017-08-01,2.73
3G,2017-08-01,2.73
其他,2017-08-01,0.27
WIFI,2017-09-01,62.52
4G,2017-09-01,31.56
3G,2017-09-01,3.38
2G,2017-09-01,2.23
其他,2017-09-01,0.31
WIFI,2017-10-01,62.78
4G,2017-10-01,31.59
3G,2017-10-01,3.07
2G,2017-10-01,2.22
其他,2017-10-01,0.34
WIFI,2017-11-01,63.0
4G,2017-11-01,32.74
3G,2017-11-01,2.07
2G,2017-11-01,1.84
其他,2017-11-01,0.35
WIFI,2017-12-01,63.07
4G,2017-12-01,33.1
3G,2017-12-01,1.87
2G,2017-12-01,1.61
其他,2017-12-01,0.35
WIFI,2018-01-01,64.02
4G,2018-01-01,32.35
3G,2018-01-01,1.81
2G,2018-01-01,1.5
其他,2018-01-01,0.32
WIFI,2018-02-01,63.96
4G,2018-02-01,32.41
3G,2018-02-01,1.87
2G,2018-02-01,1.5
其他,2018-02-01,0.26
WIFI,2018-03-01,55.18
4G,2018-03-01,41.88
3G,2018-03-01,1.46
2G,2018-03-01,1.16
其他,2018-03-01,0.32
WIFI,2018-04-01,61.34
4G,2018-04-01,34.98
3G,2018-04-01,1.88
2G,2018-04-01,1.45
其他,2018-04-01,0.35
WIFI,2018-05-01,59.9
4G,2018-05-01,37.09
3G,2018-05-01,1.56
2G,2018-05-01,1.19
其他,2018-05-01,0.26
WIFI,2018-06-01,59.9
4G,2018-06-01,37.55
3G,2018-06-01,1.34
2G,2018-06-01,1.0
其他,2018-06-01,0.21
WIFI,2018-07-01,60.61
4G,2018-07-01,36.99
3G,2018-07-01,1.27
2G,2018-07-01,0.94
其他,2018-07-01,0.2
WIFI,2018-08-01,60.45
4G,2018-08-01,37.51
