品牌,机型,日期,占有率
iPhone,4s,2014-01-01,22.04
iPhone,5,2014-01-01,19.55
iPhone,4,2014-01-01,17.88
iPhone,5S,2014-01-01,11.85
iPad,mini,2014-01-01,4.53
iPad,4,2014-01-01,4.05
iPad,2,2014-01-01,3.42
iPad,2,2014-01-01,3.29
iPhone,5C,2014-01-01,2.13
iPad,3,2014-01-01,2.13
iPad,Air,2014-01-01,2.01
iPod,touch,2014-01-01,1.01
iPad,Mini,2014-01-01,0.97
iPad,1,2014-01-01,0.9
iPad,3,2014-01-01,0.88
iPod,touch,2014-01-01,0.85
iPad,4,2014-01-01,0.82
iPad,mini,2014-01-01,0.65
iPhone,3GS,2014-01-01,0.58
iPad,Air,2014-01-01,0.21
iPad,Mini,2014-01-01,0.17
iPod,touch,2014-01-01,0.09
iPhone,4s,2014-02-01,22.81
iPhone,5,2014-02-01,19.46
iPhone,4,2014-02-01,17.59
iPhone,5S,2014-02-01,13.99
iPad,mini,2014-02-01,4.27
iPad,4,2014-02-01,3.67
iPad,2,2014-02-01,3.16
iPad,2,2014-02-01,2.87
iPad,Air,2014-02-01,2.14
iPad,3,2014-02-01,1.94
iPhone,5C,2014-02-01,1.93
iPad,Mini,2014-02-01,1.11
iPod,touch,2014-02-01,0.83
iPad,1,2014-02-01,0.8
iPad,3,2014-02-01,0.79
iPod,touch,2014-02-01,0.61
iPad,mini,2014-02-01,0.57
iPhone,3GS,2014-02-01,0.55
iPad,4,2014-02-01,0.54
iPad,Air,2014-02-01,0.19
iPad,Mini,2014-02-01,0.13
iPod,touch,2014-02-01,0.04
iPhone,4s,2014-03-01,26.57
iPhone,5,2014-03-01,22.41
iPhone,4,2014-03-01,19.16
iPhone,5S,2014-03-01,18.63
iPhone,5C,2014-03-01,2.28
iPad,2,2014-03-01,1.58
iPad,mini,2014-03-01,1.49
iPad,4,2014-03-01,1.35
iPad,2,2014-03-01,1.13
iPad,Air,2014-03-01,0.9
iPad,3,2014-03-01,0.82
iPad,3,2014-03-01,0.63
iPhone,3GS,2014-03-01,0.49
iPad,Mini,2014-03-01,0.47
iPad,mini,2014-03-01,0.45
iPad,4,2014-03-01,0.44
iPad,1,2014-03-01,0.4
iPod,touch,2014-03-01,0.27
iPod,touch,2014-03-01,0.21
iPad,Mini,2014-03-01,0.16
iPad,Air,2014-03-01,0.16
iPod,touch,2014-03-01,0.01
iPhone,4s,2014-04-01,28.98
iPhone,5,2014-04-01,23.18
iPhone,5S,2014-04-01,21.11
iPhone,4,2014-04-01,19.58
iPhone,5C,2014-04-01,2.77
iPad,2,2014-04-01,1.04
iPad,3,2014-04-01,0.78
iPad,mini,2014-04-01,0.61
iPhone,3GS,2014-04-01,0.57
iPad,4,2014-04-01,0.51
iPad,Air,2014-04-01,0.3
iPad,1,2014-04-01,0.28
iPad,Mini,2014-04-01,0.23
iPad,2,2014-04-01,0.02
iPad,4,2014-04-01,0.01
iPad,mini,2014-04-01,0.01
iPad,Mini,2014-04-01,0.01
iPhone,4s,2014-05-01,28.47
iPhone,5,2014-05-01,22.89
iPhone,5S,2014-05-01,22.85
iPhone,4,2014-05-01,18.95
iPhone,5C,2014-05-01,2.78
iPad,2,2014-05-01,1.17
iPad,3,2014-05-01,0.65
iPad,4,2014-05-01,0.51
iPhone,3GS,2014-05-01,0.51
iPad,mini,2014-05-01,0.5
iPad,Air,2014-05-01,0.27
iPad,Mini,2014-05-01,0.23
iPad,1,2014-05-01,0.21
iPhone,4s,2014-06-01,27.76
iPhone,5S,2014-06-01,24.67
iPhone,5,2014-06-01,22.0
iPhone,4,2014-06-01,18.1
iPhone,5C,2014-06-01,3.17
iPad,2,2014-06-01,1.24
iPad,3,2014-06-01,0.66
iPad,mini,2014-06-01,0.55
iPhone,3GS,2014-06-01,0.54
iPad,4,2014-06-01,0.52
iPad,Air,2014-06-01,0.29
iPad,Mini,2014-06-01,0.25
iPad,1,2014-06-01,0.23
iPhone,4s,2014-07-01,20.08
iPhone,5S,2014-07-01,18.46
iPhone,5,2014-07-01,15.8
iPhone,4,2014-07-01,12.79
iPad,mini,2014-07-01,5.5
iPad,Air,2014-07-01,4.71
iPad,4,2014-07-01,4.22
iPad,2,2014-07-01,3.14
iPad,2,2014-07-01,3.11
iPad,Mini,2014-07-01,2.59
iPhone,5C,2014-07-01,2.53
iPad,3,2014-07-01,2.1
iPad,3,2014-07-01,0.82
iPad,mini,2014-07-01,0.63
iPad,4,2014-07-01,0.61
iPad,1,2014-07-01,0.61
iPod,touch,2014-07-01,0.61
iPod,touch,2014-07-01,0.59
iPad,Air,2014-07-01,0.46
iPhone,3GS,2014-07-01,0.35
iPad,Mini,2014-07-01,0.29
iPod,touch,2014-07-01,0.02
iPhone,4s,2014-08-01,19.42
iPhone,5S,2014-08-01,18.1
iPhone,5,2014-08-01,15.13
iPhone,4,2014-08-01,12.15
iPad,mini,2014-08-01,6.12
iPad,Air,2014-08-01,5.33
iPad,4,2014-08-01,4.56
iPad,2,2014-08-01,3.22
iPad,2,2014-08-01,3.12
iPad,Mini,2014-08-01,3.07
iPhone,5C,2014-08-01,2.71
iPad,3,2014-08-01,2.1
iPad,3,2014-08-01,0.81
iPad,mini,2014-08-01,0.65
iPad,4,2014-08-01,0.64
iPad,1,2014-08-01,0.62
iPod,touch,2014-08-01,0.58
iPad,Air,2014-08-01,0.53
iPod,touch,2014-08-01,0.52
iPad,Mini,2014-08-01,0.33
iPhone,3GS,2014-08-01,0.27
iPod,touch,2014-08-01,0.02
iPhone,5S,2014-09-01,1.06
iPhone,5S,2014-10-01,18.33
iPhone,4s,2014-10-01,17.05
iPhone,5,2014-10-01,14.59
iPhone,4,2014-10-01,10.9
iPhone,5C,2014-10-01,5.54
iPad,Air,2014-10-01,5.5
iPad,mini,2014-10-01,5.35
iPad,4,2014-10-01,3.94
iPad,Mini,2014-10-01,3.26
iPad,2,2014-10-01,2.84
iPad,2,2014-10-01,2.73
iPad,3,2014-10-01,2.0
iPhone,6,2014-10-01,1.91
iPad,3,2014-10-01,0.85
iPad,Air,2014-10-01,0.77
iPhone,6,2014-10-01,0.76
iPad,mini,2014-10-01,0.75
iPad,4,2014-10-01,0.59
iPod,touch,2014-10-01,0.58
iPad,1,2014-10-01,0.58
iPod,touch,2014-10-01,0.54
iPad,Mini,2014-10-01,0.34
iPhone,3GS,2014-10-01,0.25
iPod,touch,2014-10-01,0.03
iPhone,5S,2014-11-01,18.45
iPhone,4s,2014-11-01,16.67
iPhone,5,2014-11-01,13.3
iPhone,4,2014-11-01,10.19
iPad,Air,2014-11-01,5.53
iPhone,5C,2014-11-01,5.31
iPad,mini,2014-11-01,5.3
iPhone,6,2014-11-01,4.46
iPad,4,2014-11-01,3.92
iPad,Mini,2014-11-01,3.22
iPad,2,2014-11-01,2.58
iPad,2,2014-11-01,2.49
iPhone,6,2014-11-01,2.23
iPad,3,2014-11-01,1.88
iPad,3,2014-11-01,0.78
iPad,4,2014-11-01,0.65
iPad,Air,2014-11-01,0.63
iPad,mini,2014-11-01,0.56
iPod,touch,2014-11-01,0.46
iPad,1,2014-11-01,0.45
iPod,touch,2014-11-01,0.39
iPad,Mini,2014-11-01,0.29
iPhone,3GS,2014-11-01,0.23
iPod,touch,2014-11-01,0.03
iPhone,5S,2014-12-01,18.29
iPhone,4s,2014-12-01,15.37
iPhone,5,2014-12-01,12.45
iPhone,4,2014-12-01,9.12
iPhone,5C,2014-12-01,6.87
iPhone,6,2014-12-01,6.61
iPad,Air,2014-12-01,5.22
iPad,mini,2014-12-01,5.0
iPhone,6,2014-12-01,4.14
