系统,日期,占有率
7.0.4,2014-01-01,50.33
6.1.3,2014-01-01,10.91
7.0.3,2014-01-01,6.28
5.1.1,2014-01-01,6.15
7.0.2,2014-01-01,4.77
6.1.2,2014-01-01,3.97
6.1,2014-01-01,3.09
6.0.1,2014-01-01,2.8
7.0,2014-01-01,2.53
6.1.4,2014-01-01,2.42
7.0.4,2014-02-01,47.31
6.1.3,2014-02-01,9.8
7.0.5,2014-02-01,6.74
5.1.1,2014-02-01,5.86
7.0.3,2014-02-01,5.1
7.0.2,2014-02-01,4.27
6.1.2,2014-02-01,3.73
6.1,2014-02-01,2.68
6.0.1,2014-02-01,2.61
7.0,2014-02-01,2.23
7.1,2014-03-01,24.36
7.0.4,2014-03-01,23.41
7.0.6,2014-03-01,13.37
6.1.3,2014-03-01,7.84
5.1.1,2014-03-01,4.85
7.0.3,2014-03-01,3.95
7.0.2,2014-03-01,3.36
6.1.2,2014-03-01,3.2
6.0.1,2014-03-01,2.33
6.1.4,2014-03-01,2.27
7.1,2014-04-01,39.84
7.0.4,2014-04-01,17.91
7.0.6,2014-04-01,7.18
6.1.3,2014-04-01,6.38
5.1.1,2014-04-01,4.3
7.0.3,2014-04-01,3.07
6.1.2,2014-04-01,2.89
7.0.2,2014-04-01,2.87
6.0.1,2014-04-01,2.18
7.1.1,2014-04-01,2.08
7.1.1,2014-05-01,33.93
7.0.4,2014-05-01,15.3
7.1,2014-05-01,14.77
6.1.3,2014-05-01,5.92
7.0.6,2014-05-01,5.46
5.1.1,2014-05-01,4.14
6.1.2,2014-05-01,2.73
7.0.3,2014-05-01,2.71
7.0.2,2014-05-01,2.56
6.0.1,2014-05-01,2.01
7.1.1,2014-06-01,44.09
7.0.4,2014-06-01,13.5
7.1,2014-06-01,10.58
6.1.3,2014-06-01,5.18
7.0.6,2014-06-01,4.69
5.1.1,2014-06-01,3.53
7.0.3,2014-06-01,2.49
7.0.2,2014-06-01,2.4
6.1.2,2014-06-01,2.37
6.0.1,2014-06-01,1.83
