运营商,日期,占有率
中国移动,2014-01-01,59.83
中国联通,2014-01-01,20.21
中国电信,2014-01-01,10.73
其他,2014-01-01,9.23
中国移动,2014-02-01,61.77
中国联通,2014-02-01,19.93
中国电信,2014-02-01,10.58
其他,2014-02-01,7.72
中国移动,2014-03-01,61.77
中国联通,2014-03-01,20.39
中国电信,2014-03-01,9.52
其他,2014-03-01,8.32
中国移动,2014-04-01,62.21
中国联通,2014-04-01,20.4
中国电信,2014-04-01,8.47
其他,2014-04-01,8.92
中国移动,2014-05-01,62.41
中国联通,2014-05-01,20.67
中国电信,2014-05-01,8.42
其他,2014-05-01,8.5
中国移动,2014-06-01,63.25
中国联通,2014-06-01,20.59
中国电信,2014-06-01,8.23
其他,2014-06-01,7.93
中国移动,2014-07-01,62.64
中国联通,2014-07-01,19.42
中国电信,2014-07-01,9.9
其他,2014-07-01,8.04
中国移动,2014-08-01,62.56
中国联通,2014-08-01,19.07
中国电信,2014-08-01,9.95
其他,2014-08-01,8.42
中国移动,2014-09-01,62.6
中国联通,2014-09-01,17.91
中国电信,2014-09-01,10.05
其他,2014-09-01,9.44
中国移动,2014-10-01,62.41
中国联通,2014-10-01,17.78
中国电信,2014-10-01,10.14
其他,2014-10-01,9.67
中国移动,2014-11-01,62.08
中国联通,2014-11-01,17.11
中国电信,2014-11-01,9.81
其他,2014-11-01,11.0
中国移动,2014-12-01,62.59
中国联通,2014-12-01,17.07
中国电信,2014-12-01,9.82
其他,2014-12-01,10.52
中国移动,2015-01-01,62.83
中国联通,2015-01-01,16.3
中国电信,2015-01-01,9.94
其他,2015-01-01,10.93
中国移动,2015-02-01,64.18
中国联通,2015-02-01,15.67
中国电信,2015-02-01,9.94
其他,2015-02-01,10.21
中国移动,2015-03-01,65.5
中国联通,2015-03-01,15.15
中国电信,2015-03-01,9.77
其他,2015-03-01,9.58
中国移动,2015-04-01,65.18
中国联通,2015-04-01,15.08
中国电信,2015-04-01,9.97
其他,2015-04-01,9.77
中国移动,2015-05-01,57.54
中国联通,2015-05-01,15.69
中国电信,2015-05-01,9.6
其他,2015-05-01,17.17
中国移动,2015-06-01,55.0
中国联通,2015-06-01,14.95
中国电信,2015-06-01,9.27
其他,2015-06-01,20.78
中国移动,2015-07-01,51.41
中国联通,2015-07-01,15.17
中国电信,2015-07-01,8.65
其他,2015-07-01,24.77
中国移动,2015-08-01,49.58
中国联通,2015-08-01,14.43
中国电信,2015-08-01,8.32
其他,2015-08-01,27.67
中国移动,2015-09-01,46.63
中国联通,2015-09-01,13.78
中国电信,2015-09-01,7.85
其他,2015-09-01,31.74
中国移动,2015-10-01,47.06
中国联通,2015-10-01,15.05
中国电信,2015-10-01,7.61
其他,2015-10-01,30.28
中国移动,2015-11-01,47.37
中国联通,2015-11-01,19.08
中国电信,2015-11-01,8.18
其他,2015-11-01,25.37
中国移动,2015-12-01,49.76
中国联通,2015-12-01,15.72
中国电信,2015-12-01,7.84
其他,2015-12-01,26.68
中国移动,2016-01-01,49.92
中国联通,2016-01-01,14.74
中国电信,2016-01-01,8.14
其他,2016-01-01,27.2
中国移动,2016-02-01,47.31
中国联通,2016-02-01,16.66
中国电信,2016-02-01,8.47
其他,2016-02-01,27.56
中国移动,2016-03-01,49.05
中国联通,2016-03-01,15.83
中国电信,2016-03-01,8.6
其他,2016-03-01,26.52
中国移动,2016-04-01,53.98
中国联通,2016-04-01,17.73
中国电信,2016-04-01,9.3
其他,2016-04-01,18.99
中国移动,2016-05-01,54.19
中国联通,2016-05-01,19.94
中国电信,2016-05-01,9.45
其他,2016-05-01,16.42
中国移动,2016-06-01,56.29
中国联通,2016-06-01,19.71
中国电信,2016-06-01,10.0
其他,2016-06-01,14.0
中国移动,2016-07-01,59.21
中国联通,2016-07-01,14.42
中国电信,2016-07-01,10.54
其他,2016-07-01,15.83
中国移动,2016-08-01,58.16
中国联通,2016-08-01,14.25
中国电信,2016-08-01,10.44
其他,2016-08-01,17.15
中国移动,2016-09-01,60.1
中国联通,2016-09-01,14.68
中国电信,2016-09-01,10.77
其他,2016-09-01,14.45
中国移动,2016-10-01,60.83
中国联通,2016-10-01,14.62
中国电信,2016-10-01,10.72
其他,2016-10-01,13.83
中国移动,2016-11-01,60.61
中国联通,2016-11-01,14.86
中国电信,2016-11-01,10.7
其他,2016-11-01,13.83
中国移动,2016-12-01,60.38
中国联通,2016-12-01,14.61
中国电信,2016-12-01,10.61
其他,2016-12-01,14.4
中国移动,2017-01-01,60.53
中国联通,2017-01-01,14.39
中国电信,2017-01-01,10.62
其他,2017-01-01,14.46
中国移动,2017-02-01,60.47
中国联通,2017-02-01,14.24
中国电信,2017-02-01,10.45
其他,2017-02-01,14.84
中国移动,2017-03-01,60.39
中国联通,2017-03-01,14.66
中国电信,2017-03-01,10.54
其他,2017-03-01,14.41
中国移动,2017-04-01,64.41
中国联通,2017-04-01,16.39
中国电信,2017-04-01,14.14
其他,2017-04-01,5.06
中国移动,2017-05-01,63.5
中国联通,2017-05-01,16.88
中国电信,2017-05-01,14.19
其他,2017-05-01,5.44
中国移动,2017-06-01,64.56
中国联通,2017-06-01,16.63
中国电信,2017-06-01,14.3
其他,2017-06-01,4.51
中国移动,2017-07-01,63.04
中国联通,2017-07-01,17.27
中国电信,2017-07-01,14.43
其他,2017-07-01,5.26
中国移动,2017-08-01,62.68
中国联通,2017-08-01,17.4
中国电信,2017-08-01,14.71
其他,2017-08-01,5.21
中国移动,2017-09-01,62.3
中国联通,2017-09-01,18.28
中国电信,2017-09-01,14.83
其他,2017-09-01,4.59
中国移动,2017-10-01,60.63
中国联通,2017-10-01,18.63
中国电信,2017-10-01,15.73
其他,2017-10-01,5.0
中国移动,2017-11-01,61.19
中国联通,2017-11-01,18.32
中国电信,2017-11-01,15.56
其他,2017-11-01,4.92
中国移动,2017-12-01,60.71
中国联通,2017-12-01,18.57
中国电信,2017-12-01,15.89
其他,2017-12-01,4.83
中国移动,2018-01-01,59.98
中国联通,2018-01-01,18.7
中国电信,2018-01-01,16.2
其他,2018-01-01,5.12
中国移动,2018-02-01,60.08
中国联通,2018-02-01,18.61
中国电信,2018-02-01,16.42
其他,2018-02-01,4.89
中国移动,2018-03-01,50.32
中国联通,2018-03-01,20.51
中国电信,2018-03-01,25.33
其他,2018-03-01,3.85
中国移动,2018-04-01,58.08
中国联通,2018-04-01,18.94
中国电信,2018-04-01,17.4
其他,2018-04-01,5.57
中国移动,2018-05-01,57.87
中国联通,2018-05-01,19.2
中国电信,2018-05-01,17.8
其他,2018-05-01,5.13
中国移动,2018-06-01,57.61
中国联通,2018-06-01,19.24
中国电信,2018-06-01,18.14
其他,2018-06-01,5.01
中国移动,2018-07-01,56.86
中国联通,2018-07-01,19.19
中国电信,2018-07-01,18.3
其他,2018-07-01,5.66
中国移动,2018-08-01,60.09
中国联通,2018-08-01,20.33
中国电信,2018-08-01,19.58
其他,2018-08-01,0.0
中国移动,2018-09-01,59.95
中国联通,2018-09-01,20.25
中国电信,2018-09-01,19.8
其他,2018-09-01,0.0
