日期,交通拥堵指数
2018-03-15,1.68
2018-03-16,1.94
2018-03-17,1.57
2018-03-18,1.73
2018-03-19,1.81
2018-03-20,1.73
2018-03-21,1.75
2018-03-22,1.72
2018-03-23,1.85
2018-03-24,1.58
2018-03-25,1.58
2018-03-26,1.8
2018-03-27,1.73
2018-03-28,1.74
2018-03-29,1.75
2018-03-30,1.89
2018-03-31,1.62
2018-04-01,1.62
2018-03-31,1.62
2018-04-01,1.62
2018-04-02,1.88
2018-04-03,1.85
2018-04-04,2.14
2018-04-05,1.57
2018-04-06,1.61
2018-04-07,1.72
2018-04-08,1.88
2018-04-09,1.83
2018-04-10,1.81
2018-04-11,1.86
2018-04-12,2.0
2018-04-13,1.98
2018-04-14,1.62
2018-04-15,1.67
2018-04-16,1.72
2018-04-17,1.7
2018-04-18,1.64
2018-04-19,1.72
2018-04-20,1.95
2018-04-21,1.77
2018-04-22,1.7
2018-04-23,1.79
2018-04-24,1.79
2018-04-25,1.78
2018-04-26,1.83
2018-04-27,1.76
2018-04-28,2.16
2018-04-29,1.71
2018-04-30,1.67
2018-05-01,1.8
2018-05-02,1.85
2018-05-03,1.76
2018-05-04,1.82
2018-05-05,1.83
2018-05-06,1.58
2018-05-07,1.79
2018-05-08,1.79
2018-05-09,1.69
2018-05-10,1.92
2018-05-11,1.79
2018-05-12,1.66
2018-05-13,1.71
2018-05-14,1.72
2018-05-15,1.75
2018-05-16,1.69
2018-05-17,1.79
2018-05-18,1.91
2018-05-19,1.83
2018-05-20,1.72
2018-05-21,1.85
2018-05-22,1.75
2018-05-23,1.69
2018-05-24,1.78
2018-05-25,1.81
2018-05-26,1.74
2018-05-27,1.68
2018-05-28,1.71
2018-05-29,1.7
2018-05-30,1.66
2018-05-31,1.75
2018-06-01,1.78
2018-06-02,1.61
2018-06-03,1.74
2018-06-04,1.69
2018-06-05,1.67
2018-06-06,1.62
2018-06-07,1.83
2018-06-08,2.2
2018-06-09,1.55
2018-06-10,1.51
2018-06-11,1.65
2018-06-12,1.64
2018-06-13,1.68
2018-06-14,1.72
2018-06-15,1.82
2018-06-16,1.6
2018-06-17,1.59
2018-06-18,1.6
2018-06-19,1.72
2018-06-20,1.6
2018-06-21,1.67
2018-06-22,1.67
2018-06-23,1.53
2018-06-24,1.51
2018-06-25,1.68
2018-06-26,1.81
2018-06-27,1.7
2018-06-28,1.77
2018-06-29,1.65
2018-06-30,1.52
2018-07-01,1.52
2018-07-02,1.68
2018-07-03,1.65
2018-07-04,1.68
2018-07-05,1.64
2018-07-06,1.63
2018-07-07,1.68
2018-07-08,1.61
2018-07-09,1.66
2018-07-10,1.61
2018-07-11,1.61
2018-07-12,1.78
2018-07-13,1.71
2018-07-14,1.53
2018-07-15,1.59
2018-07-16,1.59
2018-07-17,1.56
2018-07-18,1.55
2018-07-19,1.64
2018-07-20,1.59
2018-07-21,1.51
2018-07-22,1.45
2018-07-23,1.56
2018-07-24,1.54
2018-07-25,1.54
2018-07-26,1.67
2018-07-27,1.57
2018-07-28,1.49
2018-07-29,1.45
2018-07-30,1.51
2018-07-31,1.51
2018-08-01,1.49
2018-08-02,1.56
2018-08-03,1.5
2018-08-04,1.44
2018-08-05,1.43
2018-08-06,1.49
2018-08-07,1.49
2018-08-08,1.49
2018-08-09,1.53
2018-08-10,1.53
2018-08-11,1.46
2018-08-12,1.42
2018-08-13,1.48
2018-08-14,1.45
2018-08-15,1.47
2018-08-16,1.45
2018-08-17,1.53
2018-08-18,1.45
2018-08-19,1.42
2018-08-20,1.48
2018-08-21,1.54
2018-08-22,1.66
2018-08-23,1.53
2018-08-24,1.5
2018-08-25,1.49
2018-08-26,1.48
2018-08-27,1.51
2018-08-28,1.54
2018-08-29,1.54
2018-08-30,1.61
2018-08-31,1.6
2018-09-01,1.58
2018-09-02,1.56
2018-09-03,1.57
2018-09-04,1.59
2018-09-05,1.72
2018-09-06,1.64
2018-09-07,1.62
2018-09-08,1.52
2018-09-09,1.56
2018-09-10,1.57
2018-09-11,1.59
2018-09-12,1.53
2018-09-13,1.58
2018-09-14,1.62
2018-09-15,1.7
2018-09-16,1.56
2018-09-17,1.63
2018-09-18,1.74
2018-09-19,1.62
2018-09-20,1.63
2018-09-21,1.79
2018-09-22,1.62
2018-09-23,1.58
2018-09-24,1.78
2018-09-25,1.73
2018-09-26,1.55
2018-09-27,1.6
2018-09-28,1.6
2018-09-29,1.75
2018-09-30,1.89
2018-10-01,1.49
2018-10-02,1.44
2018-10-03,1.46
2018-10-04,1.48
2018-10-05,1.5
2018-10-06,1.57
2018-10-07,1.61
2018-10-08,1.78
2018-10-09,1.79
2018-10-10,1.81
2018-10-11,1.79
2018-10-12,1.86
2018-10-13,1.71
2018-10-14,1.71
2018-10-15,1.89
2018-10-16,1.8
2018-10-17,1.77
2018-10-18,1.9
2018-10-19,2.21
2018-10-20,1.82
2018-10-21,1.69
2018-10-22,1.89
2018-10-23,1.81
2018-10-24,1.77
2018-10-25,1.82
2018-10-26,1.95
2018-10-27,1.7
2018-10-28,1.79
2018-10-29,1.84
2018-10-30,1.72
2018-10-31,1.76
2018-11-01,1.74
2018-11-02,1.85
2018-11-03,1.65
2018-11-04,1.68
2018-11-05,2.06
2018-11-06,1.94
2018-11-07,1.86
2018-11-08,1.93
2018-11-09,2.0
2018-11-10,1.68
2018-11-11,1.79
2018-11-12,1.87
2018-11-13,1.75
2018-11-14,1.78
2018-11-15,1.82
2018-11-16,1.9
2018-11-17,1.72
2018-11-18,1.83
2018-11-19,1.68
2018-11-20,1.66
2018-11-21,1.65
2018-11-22,1.7
2018-11-23,1.8
2018-11-24,1.66
2018-11-25,1.76
2018-11-26,1.67
2018-11-27,1.66
2018-11-28,1.61
2018-11-29,1.66
2018-11-30,1.73
2018-12-01,1.66
2018-12-02,1.68
2018-12-03,1.62
2018-12-04,1.65
2018-12-05,1.62
2018-12-06,1.73
2018-12-07,1.76
2018-12-08,1.65
2018-12-09,1.61
2018-12-10,1.66
2018-12-11,1.65
2018-12-12,1.62
2018-12-13,1.69
2018-12-14,1.73
2018-12-15,1.64
2018-12-16,1.78
2018-12-17,1.65
2018-12-18,1.65
2018-12-19,1.62
2018-12-20,1.7
2018-12-21,1.73
2018-12-22,1.62
2018-12-23,1.43
2018-12-24,1.48
2018-12-25,1.48
2018-12-26,1.43
2018-12-27,1.54
2018-12-28,1.42
2018-12-29,1.67
2018-12-30,1.46
2019-01-01,1.56
2019-01-02,1.45
2019-01-03,1.47
2019-01-04,1.33
2019-01-05,1.36
2019-01-06,1.33
2019-01-07,1.41
2019-01-08,1.44
2019-01-09,1.44
2019-01-10,1.52
2019-01-11,1.64
2019-01-12,1.42
2019-01-13,1.44
2019-01-14,1.45
2019-01-15,1.45
2019-01-16,1.44
2019-01-17,1.48
2019-01-18,1.47
2019-01-19,1.42
2019-01-20,1.4
2019-01-21,1.43
2019-01-22,1.46
2019-01-23,1.41
2019-01-24,1.44
2019-01-25,1.45
2019-01-26,1.43
2019-01-27,1.39
2019-01-28,1.41
2019-01-29,1.44
2019-01-30,1.49
2019-01-31,1.48
2019-02-01,1.41
2019-02-02,1.46
2019-02-03,1.34
2019-02-04,1.18
2019-02-05,1.2
2019-02-06,1.23
2019-02-07,1.23
2019-02-08,1.24
2019-02-09,1.27
2019-02-10,1.57
2019-02-11,1.33
2019-02-12,1.36
2019-02-13,1.34
2019-02-14,1.43
2019-02-15,1.38
2019-02-16,1.37
2019-02-17,1.37
2019-02-18,1.35
2019-02-19,1.37
2019-02-20,1.42
2019-02-21,1.47
2019-02-22,1.56
2019-02-23,1.47
2019-02-24,1.43
