日期,交通拥堵指数
2018-03-15,1.95
2018-03-16,2.03
2018-03-17,1.55
2018-03-18,1.46
2018-03-19,2.09
2018-03-20,1.98
2018-03-21,1.98
2018-03-22,2.0
2018-03-23,2.07
2018-03-24,1.63
2018-03-25,1.55
2018-03-26,2.16
2018-03-27,2.05
2018-03-28,2.03
2018-03-29,2.03
2018-03-30,2.09
2018-03-31,1.6
2018-04-01,1.52
2018-03-31,1.6
2018-04-01,1.52
2018-04-02,2.09
2018-04-03,2.04
2018-04-04,2.14
2018-04-05,1.46
2018-04-06,1.45
2018-04-07,1.46
2018-04-08,1.88
2018-04-09,1.96
2018-04-10,1.92
2018-04-11,2.14
2018-04-12,2.01
2018-04-13,2.0
2018-04-14,1.62
2018-04-15,1.51
2018-04-16,2.1
2018-04-17,1.98
2018-04-18,1.91
2018-04-19,1.91
2018-04-20,2.0
2018-04-21,1.66
2018-04-22,1.5
2018-04-23,2.0
2018-04-24,2.04
2018-04-25,1.97
2018-04-26,1.98
2018-04-27,1.99
2018-04-28,1.96
2018-04-29,1.56
2018-04-30,1.55
2018-05-01,1.47
2018-05-02,1.94
2018-05-03,1.89
2018-05-04,1.93
2018-05-05,1.48
2018-05-06,1.45
2018-05-07,1.97
2018-05-08,1.89
2018-05-09,1.88
2018-05-10,1.84
2018-05-11,2.01
2018-05-12,1.57
2018-05-13,1.47
2018-05-14,2.04
2018-05-15,1.98
2018-05-16,2.02
2018-05-17,1.93
2018-05-18,1.98
2018-05-19,1.56
2018-05-20,1.53
2018-05-21,1.99
2018-05-22,2.22
2018-05-23,1.9
2018-05-24,1.86
2018-05-25,1.95
2018-05-26,1.56
2018-05-27,1.55
2018-05-28,2.01
2018-05-29,1.87
2018-05-30,1.84
2018-05-31,1.86
2018-06-01,1.77
2018-06-02,1.48
2018-06-03,1.43
2018-06-04,2.14
2018-06-05,1.86
2018-06-06,1.81
2018-06-07,1.77
2018-06-08,1.87
2018-06-09,1.5
2018-06-10,1.41
2018-06-11,2.35
2018-06-12,1.8
2018-06-13,1.86
2018-06-14,1.95
2018-06-15,2.0
2018-06-16,1.49
2018-06-17,1.46
2018-06-18,1.43
2018-06-19,2.2
2018-06-20,1.87
2018-06-21,1.77
2018-06-22,1.83
2018-06-23,1.47
2018-06-24,1.4
2018-06-25,2.11
2018-06-26,1.86
2018-06-27,1.87
