日期,交通拥堵指数
2018-03-15,1.81
2018-03-16,2.2
2018-03-17,1.65
2018-03-18,1.57
2018-03-19,1.96
2018-03-20,1.81
2018-03-21,1.81
2018-03-22,1.87
2018-03-23,1.96
2018-03-24,1.61
2018-03-25,1.52
2018-03-26,1.79
2018-03-27,1.75
2018-03-28,1.68
2018-03-29,1.8
2018-03-30,1.95
2018-03-31,1.59
2018-04-01,1.52
2018-03-31,1.59
2018-04-01,1.52
2018-04-02,1.84
2018-04-03,1.75
2018-04-04,1.94
2018-04-05,1.41
2018-04-06,1.41
2018-04-07,1.5
2018-04-08,2.03
2018-04-09,1.76
2018-04-10,1.73
2018-04-11,1.73
2018-04-12,1.94
2018-04-13,1.98
2018-04-14,1.59
2018-04-15,1.5
2018-04-16,1.89
2018-04-17,1.71
2018-04-18,1.74
2018-04-19,1.83
2018-04-20,1.96
2018-04-21,1.68
2018-04-22,1.48
2018-04-23,1.9
2018-04-24,1.88
2018-04-25,1.76
2018-04-26,1.88
2018-04-27,1.86
2018-04-28,2.26
2018-04-29,1.51
2018-04-30,1.38
2018-05-01,1.37
2018-05-02,1.75
2018-05-03,1.82
2018-05-04,1.86
2018-05-05,1.48
2018-05-06,1.41
2018-05-07,1.8
2018-05-08,1.69
2018-05-09,1.94
2018-05-10,1.88
2018-05-11,2.04
2018-05-12,1.6
2018-05-13,1.53
2018-05-14,1.85
2018-05-15,1.71
2018-05-16,1.69
2018-05-17,1.84
2018-05-18,1.98
2018-05-19,1.59
2018-05-20,1.51
2018-05-21,1.85
2018-05-22,1.74
2018-05-23,1.66
2018-05-24,1.85
2018-05-25,1.94
2018-05-26,1.59
2018-05-27,1.44
2018-05-28,1.79
2018-05-29,1.66
2018-05-30,1.69
2018-05-31,1.72
2018-06-01,1.91
2018-06-02,1.48
2018-06-03,1.48
2018-06-04,1.73
2018-06-05,1.71
2018-06-06,1.68
2018-06-07,1.82
2018-06-08,2.09
2018-06-09,1.52
2018-06-10,1.44
2018-06-11,2.04
2018-06-12,1.69
2018-06-13,1.68
2018-06-14,1.81
2018-06-15,2.13
2018-06-16,1.45
2018-06-17,1.34
2018-06-18,1.29
2018-06-19,1.69
2018-06-20,1.69
2018-06-21,1.78
2018-06-22,1.82
2018-06-23,1.49
2018-06-24,1.41
2018-06-25,1.74
2018-06-26,1.64
2018-06-27,1.74
2018-06-28,1.92
2018-06-29,1.91
2018-06-30,1.57
2018-07-01,1.51
2018-07-02,1.92
2018-07-03,1.69
2018-07-04,1.63
2018-07-05,1.8
2018-07-06,1.93
2018-07-07,1.58
2018-07-08,1.54
2018-07-09,1.97
2018-07-10,1.72
2018-07-11,1.77
2018-07-12,1.86
2018-07-13,1.86
2018-07-14,1.57
2018-07-15,1.4
2018-07-16,1.86
2018-07-17,1.85
2018-07-18,1.74
2018-07-19,1.91
2018-07-20,1.93
2018-07-21,1.55
2018-07-22,1.46
2018-07-23,1.77
2018-07-24,1.69
2018-07-25,1.71
2018-07-26,1.77
2018-07-27,2.05
2018-07-28,1.5
2018-07-29,1.4
2018-07-30,1.76
2018-07-31,1.66
2018-08-01,1.59
2018-08-02,1.79
2018-08-03,1.79
2018-08-04,1.45
2018-08-05,1.34
2018-08-06,1.71
2018-08-07,1.63
2018-08-08,1.65
2018-08-09,1.68
2018-08-10,1.88
2018-08-11,1.44
2018-08-12,1.38
2018-08-13,1.7
2018-08-14,1.62
2018-08-15,1.62
2018-08-16,1.78
2018-08-17,1.96
2018-08-18,1.45
2018-08-19,1.38
2018-08-20,1.77
2018-08-21,1.75
2018-08-22,1.67
2018-08-23,1.7
2018-08-24,1.81
2018-08-25,1.46
2018-08-26,1.42
2018-08-27,1.8
2018-08-28,1.71
2018-08-29,1.66
2018-08-30,1.81
2018-08-31,1.89
2018-09-01,1.46
2018-09-02,1.41
2018-09-03,2.05
2018-09-04,1.67
2018-09-05,1.73
2018-09-06,1.75
2018-09-07,1.87
2018-09-08,1.54
2018-09-09,1.66
2018-09-10,1.81
2018-09-11,1.67
2018-09-12,1.73
2018-09-13,1.69
2018-09-14,1.88
2018-09-15,1.62
2018-09-16,1.49
2018-09-17,1.81
2018-09-18,1.69
2018-09-19,1.68
2018-09-20,1.71
2018-09-21,2.17
2018-09-22,1.46
2018-09-23,1.34
2018-09-24,1.35
2018-09-25,1.72
2018-09-26,1.62
2018-09-27,1.67
2018-09-28,1.76
2018-09-29,2.04
2018-09-30,2.18
2018-10-01,1.34
2018-10-02,1.32
2018-10-03,1.32
2018-10-04,1.34
2018-10-05,1.35
2018-10-06,1.39
2018-10-07,1.39
2018-10-08,1.89
2018-10-09,1.77
2018-10-10,1.67
2018-10-11,1.69
2018-10-12,1.88
2018-10-13,1.63
2018-10-14,1.46
2018-10-15,1.83
2018-10-16,1.63
2018-10-17,1.64
2018-10-18,1.82
2018-10-19,2.02
2018-10-20,1.69
2018-10-21,1.53
2018-10-22,1.83
2018-10-23,1.65
2018-10-24,1.66
2018-10-25,1.7
2018-10-26,1.91
2018-10-27,1.59
2018-10-28,1.47
2018-10-29,1.76
2018-10-30,1.62
2018-10-31,1.66
2018-11-01,1.68
2018-11-02,1.88
2018-11-03,1.5
2018-11-04,1.46
2018-11-05,1.76
2018-11-06,1.67
2018-11-07,1.63
2018-11-08,1.75
2018-11-09,1.99
2018-11-10,1.59
2018-11-11,1.5
2018-11-12,1.72
2018-11-13,1.65
2018-11-14,1.63
2018-11-15,1.83
2018-11-16,2.06
2018-11-17,1.81
2018-11-18,1.58
2018-11-19,1.74
2018-11-20,1.72
2018-11-21,1.68
2018-11-22,1.73
2018-11-23,2.02
2018-11-24,1.6
2018-11-25,1.53
2018-11-26,1.76
2018-11-27,1.64
2018-11-28,1.63
2018-11-29,1.7
2018-11-30,1.95
2018-12-01,1.53
2018-12-02,1.58
2018-12-03,1.81
2018-12-04,1.68
2018-12-05,1.71
2018-12-06,1.75
2018-12-07,2.35
2018-12-08,1.76
2018-12-09,1.58
