日期,交通拥堵指数
2018-03-15,1.84
2018-03-16,1.93
2018-03-17,1.52
2018-03-18,1.36
2018-03-19,2.11
2018-03-20,1.84
2018-03-21,1.83
2018-03-22,1.85
2018-03-23,1.87
2018-03-24,1.65
2018-03-25,1.4
2018-03-26,1.96
2018-03-27,1.88
2018-03-28,2.17
2018-03-29,1.8
2018-03-30,1.96
2018-03-31,1.54
2018-04-01,1.39
2018-03-31,1.54
2018-04-01,1.39
2018-04-02,2.06
2018-04-03,1.99
2018-04-04,2.23
2018-04-05,1.47
2018-04-06,1.41
2018-04-07,1.47
2018-04-08,1.9
2018-04-09,1.92
2018-04-10,1.92
2018-04-11,1.86
2018-04-12,1.87
2018-04-13,2.35
2018-04-14,1.51
2018-04-15,1.44
2018-04-16,2.1
2018-04-17,1.96
2018-04-18,2.03
2018-04-19,1.92
2018-04-20,1.98
2018-04-21,1.66
2018-04-22,1.41
2018-04-23,2.05
2018-04-24,1.98
2018-04-25,1.94
2018-04-26,1.91
2018-04-27,1.91
2018-04-28,2.2
2018-04-29,1.6
2018-04-30,1.36
2018-05-01,1.34
2018-05-02,2.01
2018-05-03,1.94
2018-05-04,1.86
2018-05-05,1.46
2018-05-06,1.41
2018-05-07,1.98
2018-05-08,1.83
2018-05-09,1.94
2018-05-10,1.76
2018-05-11,1.83
2018-05-12,1.48
2018-05-13,1.41
2018-05-14,1.96
2018-05-15,1.83
2018-05-16,1.86
2018-05-17,2.11
2018-05-18,2.08
2018-05-19,1.5
2018-05-20,1.48
2018-05-21,2.04
2018-05-22,2.15
2018-05-23,1.78
2018-05-24,1.96
2018-05-25,1.9
2018-05-26,1.47
2018-05-27,1.35
2018-05-28,1.82
2018-05-29,1.69
2018-05-30,1.71
2018-05-31,1.86
2018-06-01,1.83
2018-06-02,1.48
2018-06-03,1.35
2018-06-04,1.91
2018-06-05,1.93
2018-06-06,1.8
2018-06-07,1.8
2018-06-08,1.87
2018-06-09,1.52
2018-06-10,1.34
2018-06-11,2.23
2018-06-12,1.85
2018-06-13,1.81
2018-06-14,2.0
2018-06-15,2.16
2018-06-16,1.39
2018-06-17,1.28
2018-06-18,1.3
2018-06-19,1.88
2018-06-20,2.0
2018-06-21,1.94
2018-06-22,1.93
2018-06-23,1.47
2018-06-24,1.35
2018-06-25,2.04
2018-06-26,1.93
2018-06-27,1.91
2018-06-28,1.93
2018-06-29,2.0
2018-06-30,1.47
2018-07-01,1.36
2018-07-02,1.97
2018-07-03,1.92
2018-07-04,1.93
2018-07-05,1.97
2018-07-06,1.87
2018-07-07,1.41
2018-07-08,1.36
2018-07-09,1.97
2018-07-10,1.89
2018-07-11,1.82
2018-07-12,1.79
2018-07-13,1.86
2018-07-14,1.44
2018-07-15,1.35
2018-07-16,1.93
2018-07-17,1.85
2018-07-18,1.81
2018-07-19,1.82
2018-07-20,1.85
2018-07-21,1.36
2018-07-22,1.3
2018-07-23,1.86
2018-07-24,1.75
2018-07-25,1.73
2018-07-26,1.7
2018-07-27,1.72
2018-07-28,1.36
2018-07-29,1.27
2018-07-30,1.71
2018-07-31,1.7
2018-08-01,1.6
2018-08-02,1.64
2018-08-03,1.65
2018-08-04,1.3
2018-08-05,1.29
2018-08-06,1.97
2018-08-07,1.6
2018-08-08,1.7
2018-08-09,1.63
2018-08-10,1.67
2018-08-11,1.43
2018-08-12,1.26
2018-08-13,1.75
2018-08-14,1.67
2018-08-15,1.69
2018-08-16,1.73
2018-08-17,1.98
2018-08-18,1.36
2018-08-19,1.32
2018-08-20,1.83
2018-08-21,1.79
2018-08-22,1.78
2018-08-23,1.87
2018-08-24,1.79
2018-08-25,1.42
2018-08-26,1.32
2018-08-27,1.96
2018-08-28,1.79
2018-08-29,1.8
2018-08-30,1.89
2018-08-31,1.92
2018-09-01,1.46
2018-09-02,1.31
2018-09-03,1.84
2018-09-04,1.76
2018-09-05,1.87
2018-09-06,1.89
2018-09-07,2.29
2018-09-08,1.47
2018-09-09,1.38
2018-09-10,2.19
2018-09-11,1.8
2018-09-12,2.02
2018-09-13,1.77
2018-09-14,2.1
2018-09-15,1.53
2018-09-16,1.44
2018-09-17,2.08
2018-09-18,1.93
2018-09-19,1.88
2018-09-20,2.05
2018-09-21,2.16
2018-09-22,1.51
2018-09-23,1.32
2018-09-24,1.43
2018-09-25,2.34
2018-09-26,1.91
2018-09-27,2.19
2018-09-28,2.06
2018-09-29,1.96
2018-09-30,2.3
2018-10-01,1.34
2018-10-02,1.37
2018-10-03,1.32
2018-10-04,1.31
2018-10-05,1.33
2018-10-06,1.34
2018-10-07,1.34
2018-10-08,1.98
2018-10-09,1.88
2018-10-10,1.82
2018-10-11,1.8
