日期,交通拥堵指数
2018-03-15,1.95
2018-03-16,2.03
2018-03-17,1.71
2018-03-18,1.61
2018-03-19,1.98
2018-03-20,2.01
2018-03-21,1.95
2018-03-22,1.95
2018-03-23,2.07
2018-03-24,1.74
2018-03-25,1.66
2018-03-26,1.99
2018-03-27,1.98
2018-03-28,1.98
2018-03-29,1.95
2018-03-30,2.03
2018-03-31,1.72
2018-04-01,1.64
2018-03-31,1.72
2018-04-01,1.64
2018-04-02,2.03
2018-04-03,2.01
2018-04-04,2.1
2018-04-05,1.63
2018-04-06,1.67
2018-04-07,1.76
2018-04-08,2.02
2018-04-09,2.03
2018-04-10,2.04
2018-04-11,1.97
2018-04-12,2.2
2018-04-13,2.13
2018-04-14,1.82
2018-04-15,1.73
2018-04-16,2.11
2018-04-17,2.0
2018-04-18,2.03
2018-04-19,2.03
2018-04-20,2.1
2018-04-21,1.87
2018-04-22,1.72
2018-04-23,2.07
2018-04-24,2.02
2018-04-25,2.08
2018-04-26,1.99
2018-04-27,2.01
2018-04-28,2.06
2018-04-29,1.76
2018-04-30,1.75
2018-05-01,1.77
2018-05-02,2.05
2018-05-03,1.89
2018-05-04,1.96
2018-05-05,1.64
2018-05-06,1.61
2018-05-07,1.95
2018-05-08,1.87
2018-05-09,1.86
2018-05-10,1.99
2018-05-11,1.98
2018-05-12,1.66
2018-05-13,1.62
2018-05-14,1.94
2018-05-15,1.89
2018-05-16,1.88
2018-05-17,1.88
2018-05-18,1.97
2018-05-19,1.68
2018-05-20,1.71
2018-05-21,1.94
2018-05-22,1.91
2018-05-23,1.9
2018-05-24,1.87
2018-05-25,1.97
2018-05-26,1.71
2018-05-27,1.62
2018-05-28,1.98
2018-05-29,1.86
2018-05-30,1.91
2018-05-31,1.85
2018-06-01,1.89
2018-06-02,1.69
2018-06-03,1.58
2018-06-04,1.9
2018-06-05,1.85
2018-06-06,1.83
2018-06-07,1.84
2018-06-08,1.96
2018-06-09,1.67
2018-06-10,1.58
2018-06-11,1.95
2018-06-12,1.82
2018-06-13,1.85
2018-06-14,1.87
2018-06-15,1.96
2018-06-16,1.54
2018-06-17,1.51
2018-06-18,1.51
2018-06-19,1.54
2018-06-20,1.64
2018-06-21,1.9
2018-06-22,1.94
2018-06-23,1.59
2018-06-24,1.57
2018-06-25,1.96
2018-06-26,1.93
2018-06-27,1.87
