城市,地名,标识,中心经度,中心维度,经纬度范围,类别
深圳市,深圳欢乐谷,6,113.984431,22.54091006,"22.537907611081717,113.97828340530396|22.53820489376543,113.97984981536865|22.537867973342184,113.98208141326904|22.53796706766966,113.98246765136719|22.536678835864887,113.98379802703857|22.5364211880616,113.98924827575684|22.537392319580253,113.99060010910034|22.541375869227736,113.99060010910034|22.54434859257118,113.98613691329956|22.544130595034687,113.98347616195679|22.545398939511813,113.9820384979248|22.545359303923338,113.97937774658203|22.54349641842534,113.97826194763184|",0
深圳市,深圳北站,519,114.0301299,22.60988618,"22.610191,114.026337|22.610458,114.026176|22.610619,114.026138|22.610806,114.02623|22.612446,114.029121|22.613626,114.031227|22.613672,114.031418|22.613632,114.031525|22.609943,114.034004|22.609795,114.03405|22.60964,114.033989|22.606806,114.029396|22.606731,114.029076|22.60607,114.027962|22.606064,114.02787|22.60605,114.027771|22.606047,114.027641|22.606066,114.027519|22.608156,114.026169|22.608234,114.026321|22.608643,114.026932|22.609043,114.027534|22.609272,114.027321|22.609985,114.02655|",0
深圳市,欢乐谷,1062,113.9810517,22.54164458,"22.537865,113.978455|22.538128,113.978333|22.539202,113.978325|22.539925,113.978401|22.5403,113.978455|22.543615,113.978416|22.54409,113.978653|22.5453,113.979416|22.545366,113.979622|22.545441,113.980019|22.545479,113.980446|22.545467,113.980782|22.545393,113.981544|22.545378,113.981857|22.545309,113.98204|22.54524,113.982185|22.545134,113.982399|22.544512,113.982964|22.543987,113.983376|22.543337,113.982666|22.543255,113.982635|22.543137,113.982613|22.542364,113.982651|22.542294,113.982689|22.542246,113.98275|22.54184,113.983376|22.541636,113.983696|22.541557,113.983765|22.541464,113.983795|22.541309,113.98381|22.54031,113.983826|22.53965,113.983154|22.53956,113.983093|22.539478,113.98307|22.539402,113.983055|22.539272,113.983047|22.538797,113.983055|22.538597,113.983047|22.538542,113.983025|22.538445,113.982941|22.538052,113.982491|22.538015,113.980896|22.538313,113.98011|22.538328,113.980034|22.538332,113.979874|22.53829,113.979752|22.537848,113.97847|",0
深圳市,世界之窗,1063,113.9729687,22.53510511,"22.538736,113.968201|22.538483,113.968056|22.538191,113.967995|22.538065,113.967964|22.53756,113.967873|22.53713,113.967842|22.536909,113.967834|22.536501,113.967934|22.536476,113.968353|22.534401,113.969292|22.533531,113.969894|22.532726,113.971497|22.532192,113.971542|22.532093,113.971603|22.532066,113.971703|22.531656,113.973312|22.53159,113.973465|22.531555,113.973572|22.531527,113.973679|22.531519,113.973839|22.531544,113.973991|22.53157,113.974167|22.531904,113.974571|22.531958,113.974625|22.531998,113.974678|22.532013,113.974777|22.532019,113.974983|22.532019,113.975182|22.532022,113.975243|22.532036,113.975319|22.532072,113.97538|22.532154,113.975487|22.532202,113.975571|22.532265,113.975739|22.532288,113.976196|22.532215,113.97644|22.534618,113.977783|22.535126,113.978149|22.5357,113.97673|22.53618,113.975288|22.536978,113.973099|22.537855,113.970703|22.538328,113.969559|",0
深圳市,深圳仙湖植物园,1067,114.1714206,22.57634698,"22.57992,114.169296|22.57999,114.169258|22.580009,114.169212|22.58069,114.169098|22.581261,114.168999|22.58283,114.169319|22.58333,114.169777|22.584471,114.170837|22.58527,114.17247|22.585831,114.174019|22.586241,114.175217|22.58655,114.176407|22.58662,114.17765|22.586439,114.178642|22.58563,114.180992|22.58452,114.182358|22.584419,114.182457|22.583759,114.182907|22.58333,114.183197|22.5826,114.183678|22.58189,114.184158|22.581551,114.184372|22.580021,114.184593|22.57803,114.183929|22.576969,114.183296|22.5763,114.18293|22.57583,114.182549|22.574751,114.181641|22.573601,114.180702|22.57329,114.180321|22.571779,114.178459|22.57107,114.17762|22.57094,114.177368|22.57091,114.177032|22.57098,114.176842|22.57118,114.176201|22.571301,114.17588|22.57136,114.175636|22.57143,114.175453|22.57148,114.175369|22.57152,114.175308|22.571541,114.175232|22.571529,114.175163|22.571501,114.175018|22.57148,114.174911|22.57148,114.173927|22.57143,114.173439|22.571301,114.17231|22.571251,114.171883|22.571171,114.171509|22.57106,114.171173|22.57089,114.170914|22.570551,114.170792|22.57012,114.170753|22.570049,114.170723|22.569941,114.170677|22.56991,114.17067|22.56987,114.170647|22.569799,114.170609|22.569521,114.170441|22.569389,114.170349|22.56913,114.170143|22.56901,114.170036|22.568661,114.169792|22.56847,114.169533|22.56814,114.169083|22.56798,114.168861|22.56768,114.167931|22.56753,114.167267|22.567471,114.166283|22.567249,114.165268|22.567089,114.164726|22.566681,114.164093|22.566481,114.163651|22.566339,114.163399|22.56608,114.16272|22.566111,114.162354|22.566259,114.162231|22.56653,114.162163|22.56666,114.162376|22.566759,114.163033|22.567181,114.163422|22.567551,114.163651|22.56781,114.163483|22.56806,114.163101|22.56815,114.162598|22.56801,114.162163|22.56768,114.161812|22.567551,114.161552|22.5676,114.161293|22.5683,114.160141|22.568899,114.159492|22.56905,114.159447|22.569201,114.159401|22.56942,114.159431|22.56949,114.159409|22.56979,114.159027|22.57,114.158562|22.57045,114.158302|22.570801,114.158241|22.571199,114.15844|22.571369,114.15892|22.57136,114.15905|22.571341,114.159286|22.57139,114.159393|22.57164,114.159431|22.571779,114.159439|22.57188,114.159363|22.572149,114.15889|22.572241,114.15876|22.57239,114.158699|22.57321,114.158562|22.574221,114.158409|22.574989,114.158791|22.57567,114.159492|22.575859,114.160561|22.57588,114.160599|22.57592,114.160606|22.575979,114.160591|22.57612,114.160591|22.57617,114.160622|22.57621,114.160744|22.5762,114.160851|22.576139,114.160973|22.57601,114.161209|22.575899,114.161339|22.57585,114.161461|22.5758,114.162117|22.575859,114.162277|22.57592,114.162331|22.576019,114.162354|22.57617,114.162361|22.57629,114.162369|22.576401,114.16243|22.576509,114.162498|22.576611,114.162628|22.576691,114.162872|22.57674,114.163094|22.576771,114.163239|22.57678,114.163361|22.576731,114.163483|22.576691,114.163597|22.57666,114.16378|22.576639,114.16391|22.57662,114.16404|22.576799,114.164688|22.57683,114.164803|22.57687,114.165024|22.5769,114.165237|22.576941,114.165443|22.576981,114.165627|22.57703,114.165756|22.57712,114.165909|22.57725,114.166069|22.577271,114.166183|22.57724,114.166588|22.577271,114.166748|22.577311,114.166847|22.57741,114.167061|22.57749,114.167313|22.577579,114.167542|22.57762,114.167778|22.57802,114.168892|22.57868,114.169327|22.57893,114.169312|22.57946,114.169319|22.57976,114.169312|",0
深圳市,锦绣中华·中国民俗文化村,1594,113.9882112,22.53076065,"22.529465,113.988052|22.529106,113.987762|22.528503,113.9869|22.528433,113.986717|22.528381,113.985641|22.52837,113.984619|22.528456,113.984032|22.528591,113.98349|22.528902,113.982712|22.529074,113.98246|22.529135,113.982399|22.529427,113.982285|22.529671,113.982208|22.529861,113.982155|22.529943,113.982147|22.530024,113.982201|22.530155,113.982544|22.530205,113.982666|22.530329,113.98278|22.530508,113.98288|22.530663,113.982895|22.530741,113.982887|22.530754,113.982819|22.530676,113.982346|22.531609,113.98127|22.531673,113.981247|22.532116,113.981339|22.532179,113.981323|22.532553,113.981178|22.532761,113.980934|22.533009,113.980637|22.533167,113.980492|22.533346,113.9804|22.533541,113.9804|22.533855,113.980789|22.533607,113.981361|22.533382,113.982002|22.533321,113.982361|22.533255,113.982918|22.533218,113.983719|22.533203,113.985458|22.533171,113.986816|22.533194,113.987091|22.533195,113.98761|22.53315,113.988136|22.53195,113.988052|22.531931,113.989281|22.532328,113.989708|22.532436,113.989899|22.532471,113.990044|22.532522,113.990494|22.532551,113.990906|22.532581,113.990952|22.532631,113.990982|22.533131,113.991005|22.533125,113.991264|22.533068,113.992516|22.532974,113.993187|22.532841,113.99382|22.532669,113.994423|22.532495,113.995155|22.532242,113.996056|22.53072,113.995461|22.530552,113.995399|22.530464,113.995384|22.529467,113.995476|22.52984,113.993896|22.529863,113.993736|22.527781,113.993217|22.52774,113.993217|22.527723,113.993217|22.527668,113.993233|22.527843,113.992203|22.527941,113.991798|22.528109,113.991432|22.528187,113.991196|22.528282,113.991089|22.528423,113.99102|22.528568,113.990997|22.528713,113.990997|22.528822,113.991013|22.528921,113.991013|22.528997,113.990974|22.529066,113.990913|22.53001,113.989883|22.530123,113.989601|22.530144,113.989433|22.530128,113.989197|22.52997,113.988823|22.529638,113.988358|",0
深圳市,坣岗荔枝公园,4904,113.819747,22.7337625,"22.735214,113.817416|22.734958,113.817876|22.734903,113.817939|22.73486,113.817983|22.734785,113.818038|22.734615,113.818092|22.734109,113.81824|22.734037,113.818255|22.733948,113.818267|22.733864,113.818274|22.733759,113.818277|22.733671,113.818278|22.733576,113.818273|22.733249,113.81824|22.732725,113.818249|22.732564,113.818908|22.732311,113.819629|22.732464,113.819931|22.732575,113.820128|22.732716,113.820386|22.732816,113.820591|22.73286,113.820726|22.732911,113.820929|22.732732,113.821128|22.732638,113.821269|22.732595,113.821413|22.732572,113.821574|22.732549,113.821806|22.732525,113.822013|22.732588,113.82202|22.732835,113.822034|22.732836,113.822034|22.733456,113.821992|22.733971,113.822078|22.734528,113.821966|22.734903,113.821938|22.735206,113.821869|22.735204,113.819492|22.73521,113.81787|22.735214,113.817416|",0
深圳市,大梅沙海滨公园,4905,114.308647,22.591371,"22.586497,114.303871|22.58754,114.303877|22.588193,114.303744|22.588664,114.303801|22.589308,114.303992|22.589708,114.304362|22.590461,114.305355|22.591414,114.305839|22.592626,114.306488|22.593158,114.306935|22.593744,114.307628|22.594357,114.308309|22.594999,114.308947|22.595593,114.309455|22.595603,114.309607|22.595639,114.309991|22.59553,114.310361|22.595375,114.31073|22.596108,114.312115|22.596274,114.312478|22.59626,114.312771|22.596174,114.313029|22.595644,114.31355|22.59554,114.31344|22.59308,114.30982|22.591817,114.308461|22.589486,114.305889|22.58861,114.30516|22.5877,114.30467|22.586468,114.304374|22.586497,114.303871|",0
深圳市,东部华侨城,4906,114.290809,22.624901,"22.608729,114.310563|22.608089,114.306922|22.607821,114.305005|22.607282,114.305514|22.60697,114.306464|22.606568,114.306996|22.606309,114.307197|22.605825,114.307302|22.605119,114.307503|22.604799,114.307592|22.604361,114.307616|22.603885,114.30756|22.603718,114.307547|22.603581,114.30651|22.603381,114.305341|22.602972,114.304235|22.603215,114.304103|22.603615,114.304089|22.603769,114.304119|22.604532,114.304531|22.605053,114.304204|22.605684,114.304078|22.606019,114.303877|22.606264,114.303643|22.606271,114.303399|22.606309,114.303015|22.606434,114.302486|22.607246,114.301372|22.607326,114.301012|22.607372,114.300559|22.60761,114.300027|22.607692,114.299938|22.607711,114.299797|22.607573,114.299519|22.607216,114.299302|22.606909,114.299761|22.606754,114.299869|22.606593,114.299857|22.606573,114.29965|22.606749,114.298948|22.606668,114.298771|22.606519,114.298617|22.606355,114.298521|22.605779,114.298255|22.605708,114.298161|22.605719,114.297888|22.605638,114.29776|22.605361,114.297659|22.605235,114.297452|22.605116,114.297103|22.605028,114.296922|22.605087,114.296785|22.605206,114.296761|22.60562,114.29693|22.605813,114.297212|22.606026,114.297385|22.606184,114.297334|22.606334,114.297212|22.606542,114.297043|22.606992,114.296871|22.607125,114.296879|22.607226,114.29699|22.607338,114.297252|22.607424,114.297232|22.607469,114.297095|22.607431,114.296886|22.607283,114.296724|22.606971,114.29637|22.60677,114.295693|22.607002,114.295637|22.607343,114.295387|22.60738,114.295097|22.607084,114.294462|22.607084,114.294213|22.607225,114.294027|22.607716,114.293689|22.607955,114.293712|22.608074,114.293857|22.608297,114.294663|22.608431,114.2948|22.608555,114.294864|22.609217,114.294783|22.609989,114.294638|22.610374,114.294347|22.610594,114.294001|22.610774,114.293708|22.610903,114.293452|22.610878,114.293064|22.610736,114.292863|22.610109,114.292552|22.609884,114.292365|22.609751,114.292139|22.609721,114.29189|22.609999,114.290802|22.610669,114.289283|22.610968,114.288197|22.6114,114.287392|22.611682,114.28715|22.61195,114.287085|22.612084,114.287226|22.612231,114.287819|22.612283,114.288222|22.61238,114.288488|22.612532,114.288546|22.612675,114.288452|22.612719,114.28817|22.612704,114.287945|22.612764,114.287663|22.61292,114.287429|22.613171,114.287306|22.613533,114.28726|22.613849,114.287171|22.613974,114.287014|22.614019,114.286716|22.613952,114.286475|22.613818,114.286169|22.613751,114.285967|22.613744,114.285742|22.61397,114.284679|22.614103,114.284396|22.614252,114.284227|22.614884,114.283927|22.615093,114.283935|22.615294,114.284031|22.615431,114.284249|22.61559,114.284598|22.615773,114.28477|22.616293,114.284932|22.616408,114.284995|22.616516,114.285134|22.616749,114.285633|22.616908,114.285877|22.617085,114.285973|22.617293,114.285908|22.617821,114.285571|22.618073,114.285554|22.618328,114.28576|22.618893,114.286416|22.619109,114.286444|22.619231,114.286387|22.61931,114.286286|22.619708,114.285587|22.619767,114.284346|22.620317,114.28396|22.623596,114.282413|22.624987,114.28077|22.627456,114.279868|22.629359,114.276066|22.630906,114.270878|22.632304,114.271329|22.633523,114.272489|22.633731,114.275872|22.63382,114.277806|22.633985,114.278234|22.635055,114.278637|22.635214,114.278908|22.635226,114.279339|22.63505,114.28027|22.63499,114.28054|22.63492,114.28066|22.63457,114.28083|22.63441,114.28098|22.63434,114.28131|22.63434,114.2817|22.63441,114.28193|22.63456,114.28217|22.63494,114.28249|22.63499,114.2827|22.63495,114.28293|22.635001,114.283044|22.635717,114.283367|22.636155,114.283021|22.636468,114.28282|22.636668,114.282505|22.63701,114.282256|22.638022,114.281789|22.638364,114.281652|22.638624,114.281764|22.638773,114.282014|22.638914,114.282675|22.638921,114.283021|22.63881,114.283383|22.638579,114.283698|22.638388,114.283964|22.638163,114.284181|22.638057,114.284415|22.638035,114.284592|22.638109,114.284693|22.638221,114.284709|22.638562,114.284604|22.63912,114.284962|22.639432,114.285414|22.639592,114.285719|22.640328,114.28584|22.640618,114.286187|22.64117,114.28643|22.641456,114.286421|22.64182,114.28624|22.64223,114.28568|22.64247,114.28539|22.64285,114.28521|22.64352,114.28506|22.643817,114.285068|22.644176,114.285116|22.64466,114.28543|22.64538,114.28624|22.64547,114.28641|22.64567,114.28661|22.64639,114.28661|22.64656,114.28662|22.64672,114.28671|22.64682,114.28685|22.64683,114.28695|22.64679,114.28714|22.64669,114.28731|22.64652,114.28751|22.64624,114.2877|22.64606,114.28778|22.64553,114.2878|22.64506,114.28786|22.64363,114.28829|22.64284,114.28877|22.64205,114.28925|22.64165,114.28939|22.64134,114.28942|22.64111,114.28938|22.6405,114.28902|22.64004,114.28858|22.6396,114.28825|22.63923,114.28808|22.63841,114.28798|22.63824,114.28804|22.63806,114.28818|22.63791,114.28838|22.63785,114.28864|22.63788,114.28903|22.63813,114.2894|22.63836,114.28962|22.63894,114.29026|22.63924,114.29054|22.63943,114.29083|22.639698,114.291399|22.63996,114.29195|22.64005,114.29217|22.6401,114.29244|22.64006,114.29359|22.64007,114.29471|22.64,114.2949|22.63955,114.29521|22.63858,114.29559|22.63798,114.29577|22.63611,114.29613|22.63561,114.29612|22.63522,114.29602|22.63493,114.2959|22.63468,114.2957|22.63438,114.29537|22.63415,114.29504|22.63378,114.29463|22.63317,114.29386|22.63301,114.29373|22.63283,114.29369|22.63266,114.2937|22.63243,114.29393|22.63247,114.29429|22.63277,114.29483|22.63293,114.29517|22.63298,114.29539|22.63293,114.29598|22.632755,114.296245|22.632518,114.29649|22.632043,114.296347|22.631649,114.296078|22.63143,114.295492|22.631066,114.295033|22.630691,114.294198|22.63054,114.2941|22.6304,114.2941|22.63015,114.29422|22.62964,114.29474|22.62939,114.29503|22.628794,114.29557|22.62862,114.296017|22.628648,114.29623|22.628674,114.296564|22.628585,114.296885|22.628346,114.296967|22.627353,114.296839|22.626845,114.296374|22.626437,114.296416|22.626312,114.297328|22.626343,114.298175|22.626197,114.298584|22.625927,114.29919|22.625695,114.300001|22.625728,114.300796|22.625628,114.301165|22.625311,114.301455|22.624885,114.301382|22.624588,114.301253|22.624212,114.301229|22.623617,114.301599|22.622576,114.301793|22.62103,114.302357|22.620613,114.30234|22.620093,114.302228|22.619297,114.302163|22.618739,114.302308|22.618724,114.302558|22.618918,114.302856|22.619126,114.303476|22.618918,114.303678|22.618784,114.303613|22.61865,114.303299|22.618404,114.303227|22.618245,114.303324|22.616684,114.305885|22.615687,114.306384|22.615107,114.306948|22.614096,114.307705|22.61362,114.308511|22.612639,114.308785|22.611018,114.310235|22.609339,114.31074|22.608729,114.310563|",0
深圳市,凤凰山森林公园,4910,113.8555165,22.6881265,"22.671761,113.839505|22.671767,113.839909|22.673262,113.840116|22.673811,113.840334|22.67406,113.840427|22.674147,113.840426|22.674218,113.840385|22.674505,113.839903|22.67458,113.839873|22.674662,113.839883|22.675772,113.840742|22.683378,113.84692|22.683971,113.847637|22.684958,113.849872|22.686633,113.849083|22.68908,113.84498|22.68923,113.84428|22.68921,113.84417|22.68913,113.8441|22.68891,113.84398|22.68876,113.84393|22.68859,113.8439|22.68848,113.8439|22.68752,113.8442|22.68743,113.84418|22.68729,113.84412|22.68641,113.84343|22.68633,113.84331|22.68633,113.84324|22.68639,113.84307|22.68675,113.84249|22.68682,113.84238|22.68692,113.84227|22.68695,113.84229|22.68733,113.84252|22.68836,113.84306|22.68922,113.8436|22.68926,113.84362|22.6896,113.84381|22.69024,113.84416|22.69072,113.8444|22.6912,113.84467|22.69215,113.84522|22.69264,113.84548|22.69312,113.84575|22.6936,113.84601|22.69408,113.84627|22.69455,113.84655|22.69618,113.84745|22.69716,113.84795|22.697651,113.848208|22.69801,113.84837|22.69867,113.84867|22.69897,113.84901|22.69906,113.84921|22.69911,113.84944|22.6991,113.84966|22.699016,113.850519|22.698803,113.851199|22.698388,113.851393|22.69848,113.852718|22.698327,113.853507|22.697993,113.854154|22.697965,113.854294|22.697976,113.854394|22.699052,113.856289|22.699959,113.856556|22.702945,113.857206|22.703298,113.857024|22.703601,113.857097|22.705439,113.858215|22.707188,113.858945|22.707569,113.859303|22.707703,113.859552|22.707692,113.85988|22.707546,113.860324|22.707182,113.86083|22.707003,113.861079|22.70688,113.861407|22.707149,113.862063|22.707743,113.862925|22.708079,113.863326|22.710678,113.863576|22.710825,113.863667|22.710858,113.863874|22.710712,113.866328|22.710556,113.866668|22.71032,113.86702|22.709883,113.867336|22.708718,113.867785|22.708334,113.868259|22.707776,113.868635|22.707073,113.868939|22.706608,113.869042|22.705389,113.868957|22.701652,113.869661|22.699097,113.869955|22.697505,113.871388|22.695713,113.871534|22.692844,113.869444|22.68807,113.865143|22.679269,113.863489|22.675593,113.863414|22.675403,113.86333|22.675169,113.863082|22.67454,113.861545|22.673901,113.861059|22.673177,113.860894|22.672897,113.861064|22.672758,113.861313|22.673296,113.862638|22.673038,113.862953|22.672579,113.863172|22.671817,113.86288|22.67147,113.862877|22.671156,113.863305|22.670999,113.863791|22.670869,113.86387|22.67064,113.863876|22.665396,113.859308|22.665395,113.858828|22.669839,113.839499|22.671761,113.839505|",0
