地理位置,城市pid,城市名,省份pid,省份名
"11870885.18,3060812.20",146,贵阳,24,贵州
"12180931.66,2776093.62",305,柳州,17,广西
"11653737.32,3671864.49",240,绵阳,32,四川
"12102309.35,4049630.47",323,咸阳,27,陕西
"13376484.03,3517857.39",179,杭州,29,浙江
"13007297.74,4596606.70",149,沧州,25,河北
"12959238.56,4825347.47",131,北京,131,北京
"13211798.77,2842902.63",134,泉州,16,福建
"12623658.84,2557831.51",187,中山,7,广东
"11551964.13,3425607.32",79,乐山,32,四川
"12021589.68,3053023.60",342,黔东南,24,贵州
"12748538.99,4559724.44",150,石家庄,25,河北
"12593536.51,2618504.74",138,佛山,7,广东
"13050732.25,3717865.48",127,合肥,23,安徽
"12609384.20,2631450.58",257,广州,7,广东
"12663646.09,2618419.30",119,东莞,7,广东
"12697919.69,2560977.31",340,深圳,7,广东
"12278277.31,2891750.50",142,桂林,17,广西
"12854318.52,4677433.40",307,保定,25,河北
"12990050.62,4772368.93",191,廊坊,25,河北
"12064197.51,2593908.90",261,南宁,17,广西
"12725273.29,3558757.28",218,武汉,15,湖北
"12979309.45,4196147.53",286,济宁,8,山东
"12898120.55,3315255.29",163,南昌,31,江西
"11585280.82,3555907.48",75,成都,32,四川
"10143656.46,3437319.30",100,拉萨,13,西藏
"12646449.94,2835086.87",137,韶关,7,广东
"12856171.36,4171584.19",353,菏泽,8,山东
"11448183.93,2843599.61",104,昆明,28,云南
"12649521.59,4105848.27",268,郑州,30,河南
"13225221.26,3748918.53",315,南京,18,江苏
"13280886.83,2990092.74",300,福州,16,福建
"12737687.42,2629176.06",301,惠州,7,广东
"14086790.68,5718671.60",48,哈尔滨,2,黑龙江
"13369011.43,3597497.50",294,湖州,29,浙江
"13047444.58,4707506.67",332,天津,332,天津
"13741313.13,5104005.77",58,沈阳,19,辽宁
"12519129.85,4088448.61",153,洛阳,30,河南
"13314644.33,4829720.42",148,秦皇岛,25,河北
"12201211.44,2629479.32",341,贵港,17,广西
"13156663.86,4785771.15",265,唐山,25,河北
"13146520.15,2794850.59",194,厦门,16,福建
"12955416.43,2682139.69",259,揭阳,7,广东
"13024668.93,4367677.68",288,济南,8,山东
"12747432.55,4423795.06",266,邢台,25,河北
"12983270.08,2695083.18",201,潮州,7,广东
"12751319.79,4362095.84",151,邯郸,25,河北
"11903929.90,3195131.30",262,遵义,24,贵州
"11755371.73,3551132.57",330,遂宁,32,四川
"11813044.63,3590307.23",291,南充,32,四川
"12795341.80,2960138.22",365,赣州,31,江西
"12989872.35,2658432.29",303,汕头,7,广东
"11162596.94,2932491.73",111,大理,28,云南
"13295197.79,3766049.16",160,镇江,18,江苏
"13951842.48,5408037.28",53,长春,9,吉林
"12586210.09,2698142.83",197,清远,7,广东
"12529930.90,4535569.28",176,太原,10,山西
"13523265.31,3641114.64",289,上海,289,上海
"13293818.84,3792807.67",346,扬州,18,江苏
"14417767.78,5266979.76",54,延边,9,吉林
"12266142.07,2574421.71",361,玉林,17,广西
"13097306.62,2798910.77",255,漳州,16,福建
"11826597.44,4622376.14",360,银川,20,宁夏回族自治区
"13437062.10,3228868.44",178,温州,29,浙江
"12589053.91,2565285.42",302,江门,7,广东
"11695912.71,3429133.90",248,内江,32,四川
"12724406.45,4241442.59",215,鹤壁,30,河南
"12768866.67,3955605.11",308,周口,30,河南
"12693840.12,3874135.57",269,驻马店,30,河南
"13538978.63,4683030.35",167,大连,19,辽宁
"13719578.13,5024455.91",351,辽阳,19,辽宁
"12613353.15,4850172.87",355,大同,10,山西
"12285964.33,2409313.63",198,湛江,7,广东
"12790099.15,4959124.69",264,张家口,25,河北
"12527476.18,3871381.71",309,南阳,30,河南
"13057066.72,4032808.36",316,徐州,18,江苏
"12893318.37,3858071.13",128,阜阳,23,安徽
"11330696.32,4361026.15",66,西宁,11,青海
"13176251.17,4154108.34",234,临沂,8,山东
"12877238.34,4517087.91",208,衡水,25,河北
"11649500.33,3324086.52",186,宜宾,32,四川
"12441036.70,4961658.65",321,呼和浩特,22,内蒙古自治区
"13249660.33,3953517.97",162,淮安,18,江苏
"12268256.50,2264181.59",125,海口,21,海南
"13517338.48,3312052.08",244,台州,29,浙江
"12349002.86,2455917.94",139,茂名,7,广东
"13393990.44,3674896.25",317,无锡,18,江苏
"9754288.85,5409732.61",92,乌鲁木齐,12,新疆
"13423793.15,3486661.08",293,绍兴,29,浙江
"12221600.87,4782598.19",283,鄂尔多斯,22,内蒙古自治区
"11555387.73,2918272.23",249,曲靖,28,云南
"13130279.90,3286654.94",364,上饶,31,江西
"13401837.54,4285189.34",236,青岛,8,山东
"12735043.78,4289480.73",267,安阳,30,河南
"13319970.32,3365439.56",333,金华,29,浙江
"12228217.87,4934749.35",229,包头,22,内蒙古自治区
"13377206.96,3918849.25",223,盐城,18,江苏
"13520391.89,4478567.99",326,烟台,8,山东
"13531775.58,3466675.15",180,宁波,29,浙江
"13604985.98,3480850.71",245,舟山,29,浙江
"12520436.40,2621544.92",338,肇庆,7,广东
"12912319.45,4338843.70",366,聊城,8,山东
"13350636.44,3288181.06",292,丽水,29,浙江
"13233890.59,3347356.77",243,衢州,29,浙江
"12693146.01,3949717.58",344,漯河,30,河南
"13272719.50,4085481.95",347,连云港,18,江苏
"13142661.64,4388087.46",354,淄博,8,山东
"12601384.97,3974262.89",213,平顶山,30,河南
"11416349.87,2779251.63",106,玉溪,28,云南
"12674841.94,4010267.02",155,许昌,30,河南
"12953925.37,4474580.65",372,德州,8,山东
"13035085.64,4303516.59",325,泰安,8,山东
"12769274.62,2705589.22",200,河源,7,广东
"12191692.57,2054288.40",121,三亚,21,海南
"13032328.73,3552346.35",130,安庆,23,安徽
"13356273.65,3716551.52",348,常州,18,江苏
"12737613.38,3206187.04",278,宜春,31,江西
"11039492.89,2871929.08",112,保山,28,云南
