城市,地名,标识,中心经度,中心维度,经纬度范围
晋中市,平遥古城,1174,112.192015,37.210573,
忻州市,五台山风景名胜区,1376,113.611673,38.969749,
郑州市,嵩山国家风景名胜区,1378,112.977987,34.511811,
泰安市,泰山,1375,117.09672,36.265384,
青岛市,崂山风景区,1356,120.630124,36.174302,
张家界市,张家界武陵源风景名胜区,1377,110.469108,29.347164,
九江市,庐山,1352,116.006685,29.564502,
汕头市,汕头南澳岛旅游区,1364,117.079827,23.443413,
扬州市,瘦西湖,248,119.431155,32.418515,
南京市,玄武湖公园,1222,118.805659,32.078453,
无锡市,灵山胜境,516,120.091951,31.425701,
南京市,中山陵园,1350,118.860684,32.059008,
南京市,明孝陵景区,1347,118.847817,32.056482,
苏州市,周庄,405,120.863704,31.131308,
苏州市,同里古镇游览区,1349,120.730326,31.162198,
常州市,常州中华恐龙园,232,120.007092,31.830229,
连云港市,连云港花果山风景区,1346,119.289738,34.65073,
苏州市,苏州太湖园博园,1348,120.45529,31.142796,
廊坊市,香河第一城,1395,116.913286,39.724195,
张家口市,蔚县暖泉古镇,1396,114.44266,39.810208,
石家庄市,正定隆兴寺,1381,114.588489,38.151042,
沧州市,吴桥杂技大世界,1409,116.391506,37.647869,
张家口市,太舞滑雪场,1399,115.455723,40.909257,
张家口市,张家口万龙滑雪场,1398,115.3933096,40.96081259,
张家口市,长城岭滑雪场,1397,115.467871,41.018332,
长春市,长春南湖公园,123,125.314588,43.862158,
长春市,净月潭,98,125.472938,43.787326,
长春市,长春公园,1441,125.28427,43.903065,
长春市,胜利公园,1435,125.325556,43.905435,
哈尔滨市,哈尔滨儿童公园,1445,125.335742,43.888198,
长春市,庙香山,1444,125.88309,43.95232,
长春市,长春莲花山,1436,125.750225,43.863492,
成都市,武侯祠,199,104.054765,30.652694,
成都市,宽窄巷子,105,104.059793,30.669966,
成都市,成都人民公园,1319,104.064441,30.662891,
成都市,天府广场,1320,104.071756,30.663468,
成都市,大熊猫繁育研究基地,32,104.150142,30.742768,
成都市,杜甫草堂,287,104.034657,30.666337,
成都市,成都欢乐谷,80,104.04161,30.728696,
成都市,成都动物园,332,104.112684,30.714628,
成都市,宝资山森林公园,1314,103.818895,30.396362,
成都市,幸福梅林景区,1321,104.1431,30.589252,
北京市,颐和园,214,116.279623,39.998354,
北京市,故宫,54,116.402361,39.92489,
北京市,圆明园,222,116.303781,40.014654,
北京市,北京动物园,12,116.341659,39.948112,
北京市,天坛,189,116.418755,39.889485,
北京市,玉渊潭公园,1411,116.327378,39.922588,
北京市,古北水镇,1310,117.280401,40.659527,
北京市,奥林匹克森林公园,2,116.398231,40.022153,
北京市,北京北海公园,10,116.39547,39.932923,
北京市,陶然亭公园,1414,116.38713,39.881062,
北京市,天安门广场,185,116.404365,39.907892,
北京市,北京欢乐谷,79,116.501428,39.872989,
北京市,北京龙潭公园,1412,116.447818,39.88416,
北京市,北京香山,206,116.19472,39.99759,
北京市,雍和宫,217,116.42384,39.95315,
北京市,龙庆峡,1413,116.008944,40.556348,
重庆市,重庆磁器口,22,106.45588,29.587426,
重庆市,洪崖洞,69,106.584714,29.5681,
重庆市,仙女山,1428,107.725355,29.507202,
重庆市,重庆市朝天门广场,18,106.594436,29.5729,
大连市,金石滩,1380,121.991442,39.086428,
大连市,大连森林动物园,1328,121.6172,38.889766,
大连市,大连星海公园,208,121.572732,38.883848,
大连市,大连劳动公园,1327,121.641798,38.916243,
大连市,老虎滩海洋公园,107,121.681459,38.878779,
杭州市,西湖,1343,120.151206,30.250074,
杭州市,千岛湖,402,118.967045,29.556515,
杭州市,西溪湿地,202,120.070255,30.270164,
杭州市,杭州宋城,178,120.104527,30.176287,
杭州市,杭州清河坊,316,120.175788,30.245651,
杭州市,杭州动物园,1339,120.139788,30.219434,
杭州市,龙门古镇,344,119.957923,29.905982,
杭州市,杭州野生动物世界,398,119.991659,30.15935,
杭州市,浙西大峡谷,1345,119.110717,30.239714,
广州市,广州白云山,5,113.308172,23.200098,
广州市,长隆野生动物世界,228,113.321019,23.007779,
广州市,广州动物园,56,113.311444,23.146792,
广州市,广州长隆欢乐世界,227,113.336907,23.004576,
广州市,广州塔,57,113.331084,23.112185,
上海市,上海迪士尼度假区,1265,121.674557,31.146787,
上海市,上海城隍庙,1357,121.498531,31.23212,
上海市,上海东方明珠,1181,121.506393,31.245776,
上海市,上海人民公园,1360,121.479845,31.237842,
上海市,上海动物园,158,121.370345,31.198479,
上海市,上海科技馆,457,121.548487,31.224416,
上海市,上海野生动物园,472,121.72863,31.061586,
上海市,豫园,220,121.499013,31.232895,
上海市,上海欢乐谷,78,121.222277,31.10246,
上海市,上海泰晤士小镇,1361,121.205569,31.040061,
深圳市,世界之窗,173,113.979495,22.540107,
深圳市,深圳莲花山公园,1371,114.063916,22.559512,
深圳市,中国民俗文化村,1373,113.991887,22.537253,
深圳市,仙湖植物园,205,114.17373,22.579031,
深圳市,欢乐海岸,1368,113.993534,22.529721,
深圳市,大梅沙,386,114.314327,22.606042,
深圳市,深圳野生动物园,495,113.977873,22.605054,
深圳市,深圳东部华侨城,1365,114.295497,22.631153,
深圳市,深圳欢乐谷,77,113.987642,22.547516,
深圳市,深圳凤凰山,1366,113.857873,22.679101,
